date,price,market_cap,volume,community_score,dev_score,public_interest_score,fear_greed,price_5_SMA,price_10_SMA,price_25_SMA,price_50_SMA,price_75_SMA,price_100_SMA,price_150_SMA,price_200_SMA,price_250_SMA,price_300_SMA,price_350_SMA,fear_greed_3_SMA,fear_greed_5_SMA,fear_greed_7_SMA,fear_greed_9_SMA,fear_greed_11_SMA,fear_greed_13_SMA,fear_greed_15_SMA,fear_greed_30_SMA
2019-10-20,0.04636728600788858,7.284895269232517e-05,0.00017607695726109976,0.00015681091442565297,0.0,0.4296208360313692,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-21,0.05247777772511771,7.98915568223138e-05,0.00018154666996249402,0.00015806402374488485,0.0,0.4296208360313692,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-22,0.05546599513702981,8.354964904376418e-05,0.00022242622871199486,0.1974825745258034,0.0,0.4296208360313692,0.3563218390804598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-23,0.050915395038555696,7.831863270259891e-05,0.00021762009032764537,2.3630881485602344e-08,0.0,0.4296208360313692,0.28735632183908044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3256704980842912,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-24,0.04370124425160884,6.983711925255438e-05,0.00026191313209011,0.0001562271721977918,0.0,0.4296208360313692,0.13793103448275862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.260536398467433,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-25,0.04937927406294982,7.638829057581993e-05,0.00017473357064976802,5.84153122705129e-08,0.0,0.4296208360313692,0.1839080459770115,0.05038793724305237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2030651340996169,0.2597701149425288,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-26,0.05773075490007001,8.587621388318066e-05,0.0003229392302744573,0.00015783252965639142,0.0,0.4296208360313692,0.5172413793103449,0.05143853267804284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2796934865900384,0.29655172413793107,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-27,0.05951138576612043,8.841305265500878e-05,0.0005439015727601224,9.252609135394668e-07,0.0,0.4296208360313692,0.4827586206896552,0.05224761080386096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39463601532567055,0.32183908045977017,0.3284072249589491,0.0,0.0,0.0,0.0,0.0
2019-10-28,0.06378333108583177,9.346966873559612e-05,0.0004048627391671371,0.00015771702595261994,0.0,0.4296208360313692,0.5057471264367817,0.054821198013316176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5019157088122607,0.36551724137931035,0.35303776683087024,0.0,0.0,0.0,0.0,0.0
2019-10-29,0.06065737011877181,8.958185794486273e-05,0.0003549690545950409,0.00015748381727962024,0.0,0.4296208360313692,0.5287356321839081,0.058212423186748775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5057471264367818,0.44367816091954027,0.3776683087027914,0.3703703703703704,0.0,0.0,0.0,0.0
2019-10-30,0.062099590990523076,9.129508984016075e-05,0.0003196606910002854,0.03968879725250806,0.0,0.4296208360313692,0.5172413793103449,0.06075648657226342,0.0555722119076579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5172413793103449,0.5103448275862069,0.41050903119868626,0.3908045977011494,0.0,0.0,0.0,0.0
2019-10-31,0.05624749988668333,8.473880203777189e-05,0.0002871234749310485,0.00015759562511543003,0.0,0.4026116986833585,0.4827586206896552,0.06045983556958608,0.05594918412381446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5095785440613028,0.5034482758620691,0.4597701149425287,0.40485312899106,0.393939393939394,0.0,0.0,0.0
2019-11-01,0.06682562866318996,9.731628725580443e-05,9.117524203461916e-05,0.19692089374839886,0.0,0.4043959997122095,0.47126436781609193,0.061922684149,0.057085147476430474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4904214559386973,0.5011494252873564,0.5008210180623973,0.42528735632183906,0.4064785788923721,0.0,0.0,0.0
2019-11-02,0.06714430329240552,9.754695403648594e-05,0.00025129959838527326,0.0001573251318272921,0.0,0.4043959997122095,0.4942528735632184,0.06259487859031473,0.05870803830181546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4827586206896551,0.4988505747126437,0.4975369458128079,0.46487867177522346,0.41901776384535017,0.4076038903625111,0.0,0.0
2019-11-03,0.07273880003143561,0.00010408938826675051,0.0002604627208546737,0.0001571858546047608,0.0,0.4043959997122095,0.5517241379310345,0.0650111645728475,0.061611793879798135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5057471264367815,0.5034482758620691,0.5073891625615763,0.5057471264367817,0.44305120167189144,0.42440318302387275,0.0,0.0
