date,price,market_cap,volume,community_score,dev_score,public_interest_score,fear_greed,price_5_SMA,price_10_SMA,price_25_SMA,price_50_SMA,price_75_SMA,price_100_SMA,price_150_SMA,price_200_SMA,price_250_SMA,price_300_SMA,price_350_SMA,fear_greed_3_SMA,fear_greed_5_SMA,fear_greed_7_SMA,fear_greed_9_SMA,fear_greed_11_SMA,fear_greed_13_SMA,fear_greed_15_SMA,fear_greed_30_SMA
2019-10-20,0.00222538851714528,2.3910053099550916e-06,0.0,7.941364509578223e-06,0.0,0.7641524486951506,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-21,0.0024751523500302053,2.649022502365798e-06,4.047561093365869e-06,7.655133095988563e-06,0.0,0.7641524486951506,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-22,0.0025484272660197304,2.728024828851029e-06,2.918709907303032e-05,7.573861171300934e-06,0.0,0.7641524486951506,0.3563218390804598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-23,0.0027696825024011644,2.972943981138498e-06,0.00036714280882211447,7.580979880032682e-06,0.0,0.7641524486951506,0.28735632183908044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3256704980842912,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-24,0.003203278553869841,3.419992731673827e-06,0.0031958032797606093,6.786354017849567e-06,0.0,0.7641524486951506,0.13793103448275862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.260536398467433,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-25,0.003141966830743123,3.389775252177643e-06,0.0011513081664083508,5.461384355150018e-06,0.0,0.7641524486951506,0.1839080459770115,0.0028277015006128127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2030651340996169,0.2597701149425288,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-26,0.0033869494573201524,3.6220536920430413e-06,0.0014668554862839185,5.935846292122094e-06,0.0,0.7641524486951506,0.5172413793103449,0.0030100609220708027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2796934865900384,0.29655172413793107,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-27,0.003089265197078297,3.3346439760049785e-06,0.0013521191209703454,8.47626873287591e-06,0.0,0.7641524486951506,0.4827586206896552,0.003118228508282516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39463601532567055,0.32183908045977017,0.3284072249589491,0.0,0.0,0.0,0.0,0.0
2019-10-28,0.0033151300819933473,3.558474059749457e-06,0.0007020254977733293,8.29140476549792e-06,0.0,0.7641524486951506,0.5057471264367817,0.0032273180242009523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5019157088122607,0.36551724137931035,0.35303776683087024,0.0,0.0,0.0,0.0,0.0
2019-10-29,0.003350462122565719,3.586590002883774e-06,0.0005653221714374675,8.41310608285634e-06,0.0,0.7641524486951506,0.5287356321839081,0.0032567547379401276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5057471264367818,0.44367816091954027,0.3776683087027914,0.3703703703703704,0.0,0.0,0.0,0.0
2019-10-30,0.0036281337002249284,3.877571695856207e-06,0.0015584443718402007,8.910042800252958e-06,0.0,0.7641524486951506,0.5172413793103449,0.003353988111836489,0.003090844806224651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5172413793103449,0.5103448275862069,0.41050903119868626,0.3908045977011494,0.0,0.0,0.0,0.0
