date,price,market_cap,volume,community_score,dev_score,public_interest_score,fear_greed,price_5_SMA,price_10_SMA,price_25_SMA,price_50_SMA,price_75_SMA,price_100_SMA,price_150_SMA,price_200_SMA,price_250_SMA,price_300_SMA,price_350_SMA,fear_greed_3_SMA,fear_greed_5_SMA,fear_greed_7_SMA,fear_greed_9_SMA,fear_greed_11_SMA,fear_greed_13_SMA,fear_greed_15_SMA,fear_greed_30_SMA
2019-10-20,0.0075298310683468515,8.289310854641866e-06,1.122039770945517e-06,0.0001519606030643495,0.008537021413831704,0.9796010256723343,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-21,0.007775004719366934,8.553726877085597e-06,4.360987067757736e-07,0.00015189139505279552,0.008537021413831704,0.9796010256723343,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-22,0.0076203565351307375,8.415688361921356e-06,2.3332525163776188e-07,0.22684760727030973,0.007223633504011442,0.9796010256723343,0.3563218390804598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-23,0.007360423927899988,8.110877161148883e-06,3.8322058842513756e-07,0.0001519218502410888,0.00591024559419118,0.9796010256723343,0.28735632183908044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3256704980842912,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-24,0.006296353173502098,6.943961221179453e-06,1.36324637863213e-06,0.00015203287599429137,0.00591024559419118,0.9796010256723343,0.13793103448275862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.260536398467433,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-25,0.006717439551469114,7.412091385503076e-06,9.74177923946479e-07,2.7979588493563078e-08,0.00591024559419118,0.9796010256723343,0.1839080459770115,0.007153915581473774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2030651340996169,0.2597701149425288,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-26,0.008572546781609508,9.41640861463316e-06,4.351398033030017e-06,0.00015220311383859963,0.01247718514329249,0.9796010256723343,0.5172413793103449,0.0073134239939222885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2796934865900384,0.29655172413793107,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-27,0.008338481035519787,9.14846812979319e-06,8.939833044653641e-06,1.0745502195336511e-07,0.01247718514329249,0.9796010256723343,0.4827586206896552,0.007457048894000099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39463601532567055,0.32183908045977017,0.3284072249589491,0.0,0.0,0.0,0.0,0.0
2019-10-28,0.0090467654203345,9.955808077050253e-06,9.30531739792007e-06,0.00015199641133848584,0.01247718514329249,0.9796010256723343,0.5057471264367817,0.0077943171924870006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5019157088122607,0.36551724137931035,0.35303776683087024,0.0,0.0,0.0,0.0,0.0
2019-10-29,0.009106077178316171,1.0026596597616541e-05,7.176198781767575e-06,0.00015200050368331097,0.01247718514329249,0.9796010256723343,0.5287356321839081,0.008356261993449816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5057471264367818,0.44367816091954027,0.3776683087027914,0.3703703703703704,0.0,0.0,0.0,0.0
