,date,price,market_cap,volume,community_score,dev_score,public_interest_score
0,10-06-2021,41.69295482902015,262655944926.8661,61207166430.77283,501461.9846666667,250.82978723404256,10681
1,09-06-2021,40.9853253072512,257840321412.6033,83272781312.19891,498236.4181818182,250.82978723404256,10681
2,08-06-2021,40.813105731321684,258185492360.4015,61863253120.830574,495033.91818181815,250.82978723404256,10681
3,07-06-2021,43.5067481625997,273277711184.18787,33222825469.861206,491929.0,250.82978723404256,10681
4,06-06-2021,41.95573377624539,262655032947.30502,48799580989.71071,487222.62246153847,250.82978723404256,10681
5,05-06-2021,44.92522816878232,282440042262.3155,81428474482.31839,482420.46266666666,250.82978723404256,10681
6,04-06-2021,50.61597198433374,318453886431.95605,49929127686.03922,477429.6083076923,250.82978723404256,10681
7,03-06-2021,49.91135568100049,312312128268.2775,58181263800.33703,464864.10223076923,250.82978723404256,10681
8,02-06-2021,50.385080066959446,316209772927.7785,79067795928.28531,460356.6896666667,250.82978723404256,10681
9,01-06-2021,51.66887321870974,326267429064.5639,105538153308.46127,456376.3563333333,250.82978723404256,10681
10,31-05-2021,50.94392283759585,316011906082.4303,139573460006.40005,452887.85223076923,250.82978723404256,10874
11,30-05-2021,46.644678883944174,289154874376.7236,119252509491.61542,447801.1538461539,250.82978723404256,14850
12,29-05-2021,50.58995699296418,312687177790.47064,176572404409.0116,443191.6666666667,250.82978723404256,14850
13,28-05-2021,56.64205323998229,354070694824.1306,180984381486.05194,436765.64776923077,250.82978723404256,14850
14,27-05-2021,61.329889502711545,383362868014.6423,279734140719.37805,428851.35223076923,250.82978723404256,14850
15,26-05-2021,53.61005758511838,331738220963.85895,215262131138.83218,413153.0833333333,250.82978723404256,14850
16,25-05-2021,47.63326673746454,295795182992.57806,302634943184.4965,402061.7176153846,249.82978723404256,14850
17,24-05-2021,30.773851004554285,189076851338.1524,124757870182.4866,393298.00607692305,249.82978723404256,14850
18,14-05-2021,29.495846665157597,177738769159.68643,70361629082.89986,304171.65133333334,249.82978723404256,18351
19,13-05-2021,30.521148098285973,194039297866.21475,90222794276.86798,297352.80161538464,249.82978723404256,18351
20,12-05-2021,30.064758238716447,181863952744.2708,56085189482.21555,289923.5986666667,249.82978723404256,18351
21,11-05-2021,24.435589740826412,149446824656.83148,43410590041.14395,284036.51533333334,249.82978723404256,18351
22,10-05-2021,26.94392008711263,162352488211.9509,103917162432.22217,280381.273,249.82978723404256,18351
23,09-05-2021,23.53420614272395,140737014284.0624,24591284177.924343,272637.53846153844,249.84782608695653,18351
24,08-05-2021,20.816924677475843,125544072010.51134,18922250150.67938,268610.6609230769,249.84782608695653,18351
25,07-05-2021,21.192974347588954,127421912736.1501,19287588944.905746,265307.1346153846,249.84782608695653,18351
26,06-05-2021,22.722691364657205,137462408504.79956,29865397492.17201,261773.25,249.84782608695653,18351
27,05-05-2021,19.66387008307544,121017763222.91927,25960500431.902836,257625.5,249.84782608695653,18351
28,04-05-2021,22.24974592073895,134996129761.61766,26839849648.352757,253792.70546153845,249.84782608695653,18351
29,03-05-2021,22.806451129389952,137271153578.98369,26032946918.896667,250564.22469230767,249.84782608695653,18351
30,02-05-2021,21.94194131157726,132462317239.38649,32641306017.06938,22639.24233333333,249.84782608695653,18351
31,01-05-2021,23.018099613032437,139062601363.1042,66316659537.30174,22183.30769230769,249.84782608695653,18351
32,30-04-2021,24.618756900186142,147151336104.07812,97642508394.19043,21604.326923076922,249.84782608695653,22143
33,29-04-2021,21.52568414685063,131353748765.20428,138038493713.62854,20816.386,248.84782608695653,22143
34,28-04-2021,23.213904155006297,132134950923.9797,62326686092.944046,20007.99233333333,248.84782608695653,22143
35,27-04-2021,14.954648818952208,78385765236.12381,58720502307.2309,18574.303666666667,248.84782608695653,22143
36,26-04-2021,10.768811182082413,56116649912.26682,11531537015.64203,17585.65992307692,248.84782608695653,22143
37,25-04-2021,9.995897664750942,52561795571.22445,7206931964.543703,16985.198384615385,248.84782608695653,22143
38,24-04-2021,10.758047497501572,56213515379.49919,15509987569.120779,16841.21153846154,248.84782608695653,22143
39,23-04-2021,9.965119834005641,52257303847.27758,22221904275.1099,16756.28066666667,248.84782608695653,22143
40,22-04-2021,10.075782158042994,52752771654.87086,8763508166.572908,16656.525307692307,248.84782608695653,22143
41,21-04-2021,9.561420490228212,49848720081.247505,8137020616.978233,16415.105333333333,248.84782608695653,22143
42,20-04-2021,9.207477416090192,48352123809.59951,7070654260.991649,16275.091,248.84782608695653,22143
43,19-04-2021,10.302504594472817,53855279455.261375,13114844244.77155,16213.692307692309,248.84782608695653,22143
44,18-04-2021,11.482388647757567,59579769129.072914,7757338774.687553,16068.402333333332,248.84782608695653,22143
45,17-04-2021,12.148156121329862,62611542000.134995,13238109275.615795,15881.325666666668,248.84782608695653,22143
46,16-04-2021,12.512468191659098,65008768679.45706,15098370236.772503,15752.590909090908,248.84782608695653,22143
47,15-04-2021,11.70539538095845,60765676748.65551,16443669155.84031,15638.30909090909,248.84782608695653,24254
48,14-04-2021,11.994434271398205,59881587490.82651,21705946284.94785,15493.976999999999,248.84782608695653,24254
49,13-04-2021,10.185042729677,51234938230.200714,4692753465.907424,15235.134615384615,248.84782608695653,24254
