date,price,market_cap,volume,community_score,dev_score,public_interest_score,fear_greed,price_5_SMA,price_10_SMA,price_25_SMA,price_50_SMA,price_75_SMA,price_100_SMA,price_150_SMA,price_200_SMA,price_250_SMA,price_300_SMA,price_350_SMA,fear_greed_3_SMA,fear_greed_5_SMA,fear_greed_7_SMA,fear_greed_9_SMA,fear_greed_11_SMA,fear_greed_13_SMA,fear_greed_15_SMA,fear_greed_30_SMA,signal
2021-03-31,0.7713615065642861,0.0008112622629926096,0.002277608006167363,0.000686638408776093,7.847184280600027e-05,0.009289880060676296,0.7816091954022989,0.7252485744077187,0.6736693779419178,0.6654058608991188,0.6753475912379274,0.5546384705669739,0.4566443477092236,0.3396677686165319,0.28484371403260644,0.2706677029892624,0.23936951918878235,0.21276416324664682,0.7509578544061304,0.7333333333333357,0.6847290640394095,0.6794380587484045,0.6886102403343785,0.6976127320954917,0.7019157088122611,0.7425287356321834,3
2021-04-01,0.7914186794651004,0.0008264880800939479,0.0021857443184906925,0.0006908856790916121,0.00010535600450242157,0.008740275932678206,0.7586206896551724,0.7553224021454285,0.6852239070297854,0.6736004014742916,0.6798630271718659,0.5622057132311769,0.4633419933136006,0.3444167038964022,0.2878712484017575,0.2733457790216562,0.2417638242315524,0.2149469049098489,0.7586206896551726,0.7540229885057496,0.707717569786536,0.689655172413794,0.6896551724137934,0.7002652519893909,0.7042145593869737,0.7409961685823749,3
2021-04-02,0.7738308707369936,0.00081387816833422,0.0018616997203970602,0.0006950262919187005,0.00010532255612715944,0.008740275932678206,0.7586206896551724,0.7764287947331882,0.7001515060783474,0.6798546396725789,0.6839181196725499,0.5693176798488697,0.46980703511597377,0.34909850058409386,0.29091936859844075,0.2759352056986144,0.24411604932527586,0.2170491485474757,0.7662835249042148,0.7540229885057496,0.740558292282431,0.7011494252873572,0.6938349007314527,0.6993810786914245,0.7057471264367822,0.7394636015325664,3
2021-04-03,0.7912627174358109,0.0008320150064139386,0.0015932862483028784,0.7049744826337736,0.00010829946152549014,0.008740275932678206,0.7471264367816092,0.791068368896742,0.7155986508022967,0.6852083153770699,0.6856346384563997,0.576173952465061,0.4767318271835675,0.3539553527766694,0.294037198831092,0.2785895569040777,0.24651091252830468,0.21918983052042312,0.7547892720306516,0.7563218390804621,0.7536945812807889,0.7177522349936152,0.7011494252873566,0.6993810786914245,0.7072796934865907,0.7352490421455933,3
2021-04-04,0.7350751579937657,0.0007783734581192209,0.0024606112724347663,0.00014191450532288535,4.796695464640031e-05,0.008740275932678206,0.7586206896551724,0.7725897864391907,0.7308083191010906,0.6877602182268576,0.6803692835740023,0.5823636046378085,0.4829449079087877,0.35840451850671345,0.29697552522262344,0.2811129952501263,0.2487306507802052,0.22115148921916727,0.7547892720306516,0.7609195402298875,0.7536945812807889,0.7432950191570891,0.7105538140020901,0.7029177718832902,0.7065134099616865,0.7340996168582369,3
2021-04-05,0.7637722576177366,0.000806012983946892,0.0016618957922719133,0.000707039486136022,4.796695464640031e-05,0.008740275932678206,0.7241379310344828,0.7710719366498807,0.7481602555288005,0.6933588542144834,0.6760776841427881,0.5892693541207183,0.489481196954956,0.36301143961763177,0.30004456051910366,0.2836861421320379,0.2510414527475881,0.22321057886713613,0.7432950191570885,0.7494252873563243,0.7520525451559942,0.7509578544061313,0.7220480668756533,0.7073386383731222,0.704980842911878,0.7318007662835243,3
2021-04-06,0.8169692533997707,0.0008542765691757679,0.0022230834837208197,0.0007143416941331713,4.795027557798047e-05,0.008740275932678206,0.7701149425287356,0.7761820514368148,0.7657522267911224,0.7019177718092358,0.6753706577115409,0.5967089513063486,0.49655241755337853,0.36784351323195563,0.3033824681640242,0.28648651730536245,0.25351408460350067,0.22544700091381625,0.7509578544061305,0.751724137931037,0.7569786535303784,0.7522349936143049,0.7439916405433649,0.7161803713527862,0.7088122605363991,0.7314176245210722,3
2021-04-07,0.8197069728366025,0.0008606690763439356,0.0025373516428463215,0.0007176653968108444,4.793353220728583e-05,0.008740275932678206,0.735632183908046,0.7853572718567365,0.7808930332949632,0.7112729504303968,0.6763303745780886,0.6048874706080963,0.5035877076182558,0.3727770468615739,0.3068136228692083,0.2892268232860775,0.25598741240254486,0.22768980656553425,0.7432950191570885,0.7471264367816117,0.7504105090311993,0.7522349936143049,0.7513061650992686,0.726790450928383,0.7134099616858245,0.7279693486590032,3
2021-04-08,0.7575588583916212,0.0008109034719752634,0.003107778744848052,0.0007228821241838466,8.32969017483008e-05,0.008740275932678206,0.7471264367816092,0.7786165000478986,0.7848424344723212,0.7158986670356644,0.6764948746640712,0.6118185839274671,0.5097604641531656,0.37725384795523037,0.3099156478306687,0.29173862163788294,0.2582797871694265,0.22974646070897134,0.7509578544061307,0.7471264367816116,0.7487684729064046,0.7535121328224785,0.7502612330198538,0.7435897435897446,0.7195402298850583,0.7249042145593863,3
2021-04-09,0.7828449855546705,0.0008345270157148833,0.0017145168007087579,0.0007270457756610609,8.532061820579797e-05,0.008740275932678206,0.7126436781609196,0.7881704655600796,0.7803801259996359,0.721408950187014,0.676544090413136,0.6186934596994341,0.5162441804470016,0.3819279261772426,0.3131940678759208,0.29434700098022853,0.26066364592835795,0.23185749591986657,0.7318007662835253,0.737931034482761,0.7422003284072255,0.7458492975734363,0.7481713688610241,0.7480106100795767,0.7272030651341004,0.7256704980842905,3
