date,price,market_cap,volume,community_score,dev_score,public_interest_score,fear_greed,price_5_SMA,price_10_SMA,price_25_SMA,price_50_SMA,price_75_SMA,price_100_SMA,price_150_SMA,price_200_SMA,price_250_SMA,price_300_SMA,price_350_SMA,fear_greed_3_SMA,fear_greed_5_SMA,fear_greed_7_SMA,fear_greed_9_SMA,fear_greed_11_SMA,fear_greed_13_SMA,fear_greed_15_SMA,fear_greed_30_SMA,signal
2020-10-04,0.0042203125705605376,4.6340191333820126e-06,1.1385523888048798e-07,0.17013566493483917,0.0019127272742287095,0.2074071276133638,0.39080459770114945,0.0044710775209275576,0.004479113764549386,0.00480740321100114,0.005926971782682003,0.005887816659155702,0.005728726194883211,0.0056134716256455285,0.004730144395403692,0.0048020933384588975,0.004562404360827787,0.004574784445545419,0.3793103448275865,0.40689655172413913,0.40886699507389207,0.41507024265644976,0.4117032392894466,0.40671971706454524,0.416858237547893,0.4053639846743288,
2020-10-05,0.004246310873852281,4.645498587199049e-06,1.402851048099149e-07,0.1702552843091752,0.0019127272742287095,0.2074071276133638,0.39080459770114945,0.004376453827143306,0.004451942882504992,0.0047763501796068775,0.005826155683025317,0.005870321533807881,0.005717108522069265,0.005615072844749401,0.0047492036461713434,0.004803464348585985,0.004538115077530145,0.004579561686272467,0.38314176245210757,0.39080459770115067,0.4072249589490974,0.41123882503192866,0.4148380355276911,0.4093722369584444,0.4091954022988508,0.40574712643678096,
2020-10-06,0.004295419232931543,4.7019211832803485e-06,1.5214854654809765e-07,0.0001668633211776376,0.0019127272742287095,0.2074071276133638,0.4482758620689655,0.0042546014221616114,0.004424510021472526,0.004742078886423301,0.0057249638952207695,0.005853940737651348,0.0057121965976496235,0.005615708441148517,0.004763922861139295,0.004805134448676146,0.004538731956213415,0.004583145658674156,0.4099616858237551,0.395402298850576,0.41050903119868687,0.4112388250319287,0.4158829676071059,0.41290893015031,0.40842911877394655,0.40804597701149364,
2020-10-07,0.0036282688928871085,4.096531010563609e-06,6.881818736004504e-07,0.17063568300563878,0.0019127272742287095,0.2074071276133638,0.40229885057471265,0.004099869555918051,0.004338557999577299,0.004667066721802461,0.005621376435894979,0.005828875658514396,0.005698148840045063,0.005613697421013678,0.004776171689688573,0.0048011841178430565,0.004536442071948554,0.004585342533139898,0.4137931034482762,0.40000000000000124,0.40065681444991835,0.41123882503192877,0.4137931034482763,0.4164456233421756,0.41149425287356345,0.4088122605363979,
2020-10-08,0.0034821814888809674,3.980242846229885e-06,6.152201997180121e-07,0.0001672246534474809,0.0019127272742287095,0.2074071276133638,0.4367816091954023,0.003974498611822484,0.004244496019191804,0.004591778713916825,0.005532494816437377,0.005804881994680269,0.005684376203803573,0.005616226985177303,0.004787060038768651,0.004797768212320982,0.0045369011392788015,0.004588654674805502,0.42911877394636044,0.41379310344827713,0.4022988505747131,0.4125159642401024,0.4127481713688615,0.4164456233421756,0.4137931034482761,0.41072796934865846,
2020-10-09,0.00335156314466971,3.856619255298775e-06,1.1744223940154358e-06,0.00016739989667618858,0.0019127272742287095,0.2074071276133638,0.45977011494252873,0.0038007487266443186,0.004135913123785933,0.004530761359988929,0.005457579079228766,0.005777644335614961,0.0056723231442133495,0.005618785066259605,0.0047996797563239334,0.004793119255736932,0.004536538835156282,0.004591319716891065,0.43295019157088155,0.4275862068965529,0.4137931034482763,0.4112388250319287,0.4179728317659357,0.41909814323607486,0.4206896551724141,0.4145593869731795,
2020-10-10,0.0035386486545610865,4.030397536623327e-06,8.227099722872713e-07,0.00016766404304209044,0.0019127272742287095,0.2074071276133638,0.5172413793103449,0.00365921628278608,0.004017835054964686,0.00447242881807689,0.005371214309507145,0.005753661891900237,0.005663250645361228,0.005617103671506932,0.004810726450811606,0.004787649973202558,0.004540259409470603,0.0045934155322643454,0.4712643678160923,0.45287356321839195,0.43513957307060797,0.42145593869731823,0.4263322884012544,0.4244031830238733,0.42605363984674355,0.4203065134099611,
2020-10-11,0.0035853317444975237,4.0726944126139604e-06,6.002819916045845e-07,0.1715497242284834,0.0019127272742287095,0.2074071276133638,0.5402298850574713,0.0035171987850992755,0.0038859001036304374,0.00441132694190479,0.005300275331975689,0.005736036118470529,0.005653888103311331,0.0056090265711463754,0.004821838393703551,0.004776930804395263,0.004543287204021703,0.0045966830537539725,0.5057471264367819,0.47126436781609315,0.4564860426929397,0.4393358876117499,0.4326018808777434,0.4350132625994701,0.4337164750957857,0.42567049808429064,
2020-10-12,0.003843570903159383,4.288463528322503e-06,2.3798884463815731e-07,0.00016835382543155578,0.0019127272742287095,0.2074071276133638,0.5057471264367817,0.0035602591871537305,0.003830064371535885,0.004369398302823965,0.00522496761856246,0.0057182095329765086,0.005645451992987453,0.005603199042782364,0.004833685671965976,0.004769572798059334,0.00454871773874266,0.004600053169294639,0.5210727969348663,0.491954022988507,0.47290640394088707,0.4546615581098343,0.43991640543364735,0.4412024756852349,0.4375478927203068,0.4298850574712639,
2020-10-13,0.0038713120801303004,4.366195500549009e-06,6.819237848655568e-07,0.00016867216261776685,0.0019127272742287095,0.2074071276133638,0.5517241379310345,0.0036380853054035966,0.003806291958613035,0.0043208040894491245,0.005156506708437394,0.005702196645217558,0.005636011887674761,0.005600216470341078,0.0048447840691656216,0.004761990307590729,0.004555900095267918,0.00460344938941012,0.5325670498084295,0.5149425287356333,0.48768472906403976,0.472541507024266,0.4555903866248699,0.4473916887709998,0.4475095785440616,0.43678160919540177,
