,date,price,market_cap,volume,community_score,dev_score,public_interest_score,5_SMA,10_SMA,25_SMA,50_SMA,75_SMA,100_SMA,150_SMA,200_SMA,250_SMA,300_SMA,350_SMA
0,2019-10-20,0.014309521124448487,1.2622359198106716e-05,2.8349661261638798e-05,8.403141252748837e-05,7.771745813421316e-05,0.7110186270152329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2019-10-21,0.016116829662720347,1.4117926847243234e-05,2.3455382622434314e-05,8.425716783169586e-05,8.846173440776897e-05,0.7110186270152329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2019-10-22,0.02028727322543564,1.7926905125778653e-05,8.177066789232165e-05,8.454246492918126e-05,9.930619041347916e-05,0.7110186270152329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2019-10-23,0.019691608913418757,1.730124348316982e-05,9.349340962041569e-05,8.481158459415069e-05,0.00025723953815483806,0.7110186270152329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2019-10-24,0.020005037678152548,1.7640326483961337e-05,0.00010541872923466954,8.518755737697079e-05,0.0002991146661953633,0.7110186270152329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2019-10-25,0.02255581500138986,1.9802685925569796e-05,8.307087802314437e-05,0.0,0.0003003669128472929,0.7110186270152329,0.019731312896223433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2019-10-26,0.02498931105253775,2.193650761602509e-05,0.00010359239957425195,8.63346143652491e-05,0.000300116463516907,0.7110186270152329,0.021505809174186912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2019-10-27,0.023049771920615112,2.0238986072491183e-05,0.00012231640290914032,0.02812880777677568,0.000300116463516907,0.7110186270152329,0.02205830891322281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2019-10-28,0.021219811277199574,1.863693594811952e-05,5.6513712806695185e-05,0.11427263730470695,0.00012432607851903222,0.7110186270152329,0.022363949385978972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2019-10-29,0.021049251964745837,1.8577320272746236e-05,8.188744654649753e-05,8.680943066034713e-05,0.00012848353740343844,0.7110186270152329,0.022572792243297626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2019-10-30,0.02094926854625706,1.8419972464602342e-05,4.591785421137353e-05,3.049712516309033e-07,0.00013136370470287647,0.7110186270152329,0.022251482952271064,0.020991397924247247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2019-10-31,0.019545023417827906,1.7181505332294005e-05,3.275859016100424e-05,8.691670935909394e-05,0.00028458860503298016,0.7263525799022182,0.021162625425329092,0.021334217299758002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2019-11-01,0.022475274537901848,1.9797717756370954e-05,4.6688763227531696e-05,8.728133202858893e-05,0.00037397397104771375,0.7319689684431694,0.021047725948786438,0.02155301743100462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2019-11-02,0.022123137909729616,1.938788578827144e-05,5.068073050406479e-05,8.727273743941682e-05,0.0003744999146415242,0.7319689684431694,0.021228391275292448,0.02179617033063571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2019-11-03,0.021828130174503434,1.9135472905952048e-05,3.00462828067634e-05,8.711736108090209e-05,0.0003744999146415242,0.7319689684431694,0.021384166917243968,0.0219784795802708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2019-11-04,0.021017709728376934,1.846454543069742e-05,4.164857154015563e-05,8.32150442956291e-08,0.0003171720629161879,0.7319689684431694,0.021397855153667943,0.021824669052969505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2019-11-05,0.020994085892952978,1.846608875137673e-05,5.369356553391673e-05,8.731492755547466e-05,0.0004191299853162945,0.7319689684431694,0.02168766764869296,0.021425146537011032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2019-11-06,0.020938540257867507,1.8391303264184212e-05,4.5711496150986056e-05,8.745627322550813e-05,0.000565192034797361,0.7319689684431694,0.02138032079268609,0.02121402337073627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2019-11-07,0.022361043850986344,1.9684596487050586e-05,7.626509502465136e-05,8.739434619024915e-05,0.0005661186973197889,0.7319689684431694,0.021427901980937435,0.021328146628114948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,2019-11-08,0.02102146415600759,1.847681585009444e-05,6.265940335981502e-05,0.11519343416593722,0.0005670954497082939,0.7319689684431694,0.021266568777238266,0.021325367847241122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,2019-11-09,0.021895339909373746,1.9228251610552156e-05,5.733746397082936e-05,8.7858898279292e-05,0.0008319456165914006,0.7319689684431694,0.021442094813437628,0.021419974983552793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,2019-11-10,0.023850026357421526,2.0911696962627853e-05,7.238358394190491e-05,0.11593291299633214,0.0005979007173457617,0.7319689684431694,0.02201328290633134,0.021850475277512153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
