,date,price,market_cap,volume,community_score,dev_score,public_interest_score,5_SMA,10_SMA,25_SMA,50_SMA,75_SMA,100_SMA,150_SMA,200_SMA,250_SMA,300_SMA,350_SMA
0,2019-10-20,0.06798047315171098,4.311124150839495e-06,0.00036992455876721874,9.183062758343824e-05,6.474337703077174e-05,0.6092691521335633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2019-10-21,0.06777829172165496,4.539681454531907e-06,0.00038985896307977314,0.09668781035118335,6.474337703077174e-05,0.6092691521335633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2019-10-22,0.0700640371560726,5.026473708212768e-06,0.00037971995107727356,9.195185563420678e-05,9.197871635975498e-05,0.6092691521335633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2019-10-23,0.06830851366116077,4.478588528875517e-06,0.00037056335503636307,9.213548640859478e-05,9.202052682848232e-05,0.6092691521335633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2019-10-24,0.058461401880870234,2.6108702928952445e-06,0.0003681130246441095,9.228206407221397e-05,9.213759614091884e-05,0.6092691521335633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2019-10-25,0.05259001501375906,1.512325485733234e-06,0.00026318677528931636,9.245302652096735e-05,0.00020436525629882003,0.6092691521335633,0.06344045188670352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2019-10-26,0.06005703049736156,3.2721700687124128e-06,0.000321861834339044,0.0,0.00020573663967307648,0.6092691521335633,0.06189619964184484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2019-10-27,0.06232809303348361,3.544558842711438e-06,0.000402398033501685,9.261349942873836e-05,0.00020292697617459984,0.6092691521335633,0.06034901081732704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2019-10-28,0.06300666012684263,3.7327280282600597e-06,0.00040809146708945166,2.1147630175969917e-08,0.00020292697617459984,0.6092691521335633,0.05928864011046342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2019-10-29,0.07426541124485146,6.385285150872966e-06,0.0004440453225533855,9.275398672163774e-05,0.00020636379670398644,0.6092691521335633,0.06244944198325967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2019-10-30,0.0724740298617657,6.074126563757732e-06,0.0004255328507697013,9.281335557745456e-05,0.0002093908746398452,0.6092691521335633,0.06642624495286101,0.06493334841978224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2019-10-31,0.06291351606898425,4.059005539357253e-06,0.000388682012842709,9.293932885364824e-05,0.00021176570926355757,0.6679260452685366,0.06699754206718554,0.06444687085451517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2019-11-01,0.06531052670424935,4.621857490945503e-06,0.0003957659241281314,9.306677846349556e-05,0.00021271898795054072,0.6833840539428601,0.06759402880133869,0.06397151980933284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2019-11-02,0.09153433243842349,1.0472064770999527e-05,0.0005758636959093588,0.004938191841484508,0.0002187229712597854,0.6833840539428601,0.07329956326365486,0.06629410168705911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2019-11-03,0.09161577583747937,1.0571905518429412e-05,0.0005851552688557703,9.338698947173829e-05,0.0002187229712597854,0.6833840539428601,0.07676963618218044,0.06960953908272002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
