Length Training Data: 16972
Length Testing Data: 128
Epoch: 1 / 10 | Training Loss: 0.9267 | eta: 0.000913
Epoch: 1 / 10 | Training Loss: 1.2767 | eta: 0.000912
Epoch: 1 / 10 | Training Loss: 1.0180 | eta: 0.000911
Epoch: 1 / 10 | Training Loss: 1.2746 | eta: 0.000910
Epoch: 1 / 10 | Training Loss: 1.0914 | eta: 0.000909
Epoch: 1 / 10 | Training Loss: 1.0919 | eta: 0.000908
Epoch: 1 / 10 | Training Loss: 1.0525 | eta: 0.000908
Epoch: 1 / 10 | Training Loss: 0.9530 | eta: 0.000907
Epoch: 1 / 10 | Training Loss: 1.2040 | eta: 0.000906
Epoch: 1 / 10 | Training Loss: 1.1046 | eta: 0.000905
Epoch: 1 / 10 | Training Loss: 1.0162 | eta: 0.000904
Epoch: 1 / 10 | Training Loss: 1.2981 | eta: 0.000903
Epoch: 1 / 10 | Training Loss: 0.9874 | eta: 0.000902
Epoch: 1 / 10 | Training Loss: 1.0151 | eta: 0.000901
Epoch: 1 / 10 | Training Loss: 1.0574 | eta: 0.000900
Epoch: 1 / 10 | Training Loss: 1.1469 | eta: 0.000899
Epoch: 1 / 10 | Training Loss: 1.1079 | eta: 0.000899
Epoch: 1 / 10 | Training Loss: 1.1110 | eta: 0.000898
Epoch: 1 / 10 | Training Loss: 1.0228 | eta: 0.000897
Epoch: 1 / 10 | Training Loss: 1.1149 | eta: 0.000896
Epoch: 1 / 10 | Training Loss: 1.1288 | eta: 0.000895
Epoch: 1 / 10 | Training Loss: 0.9832 | eta: 0.000894
Epoch: 1 / 10 | Training Loss: 1.0455 | eta: 0.000893
Epoch: 1 / 10 | Training Loss: 1.0485 | eta: 0.000892
Epoch: 1 / 10 | Training Loss: 1.0571 | eta: 0.000891
Epoch: 1 / 10 | Training Loss: 1.0055 | eta: 0.000890
Epoch: 1 / 10 | Training Loss: 1.0871 | eta: 0.000890
Epoch: 1 / 10 | Training Loss: 1.0966 | eta: 0.000889
Epoch: 1 / 10 | Training Loss: 0.8295 | eta: 0.000888
Epoch: 1 / 10 | Training Loss: 1.1931 | eta: 0.000887
Epoch: 1 / 10 | Training Loss: 1.2224 | eta: 0.000886
Epoch: 1 / 10 | Training Loss: 1.0847 | eta: 0.000885
Epoch: 1 / 10 | Training Loss: 1.0714 | eta: 0.000884
Epoch: 1 / 10 | Training Loss: 1.1082 | eta: 0.000883
Epoch: 1 / 10 | Training Loss: 1.1355 | eta: 0.000882
Epoch: 1 / 10 | Training Loss: 1.0788 | eta: 0.000882
Epoch: 1 / 10 | Training Loss: 0.9127 | eta: 0.000881
Epoch: 1 / 10 | Training Loss: 1.0745 | eta: 0.000880
Epoch: 1 / 10 | Training Loss: 0.9526 | eta: 0.000879
Epoch: 1 / 10 | Training Loss: 0.9765 | eta: 0.000878
Epoch: 1 / 10 | Training Loss: 0.9745 | eta: 0.000877
Epoch: 1 / 10 | Training Loss: 0.9779 | eta: 0.000876
Epoch: 1 / 10 | Training Loss: 1.2546 | eta: 0.000875
Epoch: 1 / 10 | Training Loss: 1.0607 | eta: 0.000875
Epoch: 1 / 10 | Training Loss: 0.8869 | eta: 0.000874
Epoch: 1 / 10 | Training Loss: 1.0206 | eta: 0.000873
