Length Training Data: 7942
Length Testing Data: 128
Epoch: 2 / 10 | Training Loss: 1.2975 | eta: 0.004563
Epoch: 2 / 10 | Training Loss: 1.3184 | eta: 0.004559
Epoch: 2 / 10 | Training Loss: 1.3282 | eta: 0.004554
Epoch: 2 / 10 | Training Loss: 1.3846 | eta: 0.004550
Epoch: 2 / 10 | Training Loss: 1.3109 | eta: 0.004545
Epoch: 2 / 10 | Training Loss: 1.2266 | eta: 0.004540
Epoch: 2 / 10 | Training Loss: 1.4329 | eta: 0.004536
Epoch: 2 / 10 | Training Loss: 1.3574 | eta: 0.004531
Epoch: 2 / 10 | Training Loss: 1.3213 | eta: 0.004527
Epoch: 2 / 10 | Training Loss: 1.3304 | eta: 0.004522
Epoch: 2 / 10 | Training Loss: 1.3145 | eta: 0.004518
Epoch: 2 / 10 | Training Loss: 1.3772 | eta: 0.004513
Epoch: 2 / 10 | Training Loss: 1.3155 | eta: 0.004509
Epoch: 2 / 10 | Training Loss: 1.2189 | eta: 0.004504
Epoch: 2 / 10 | Training Loss: 1.2882 | eta: 0.004500
Epoch: 2 / 10 | Training Loss: 1.2925 | eta: 0.004495
Epoch: 2 / 10 | Training Loss: 1.3580 | eta: 0.004491
Epoch: 2 / 10 | Training Loss: 1.3984 | eta: 0.004486
Epoch: 2 / 10 | Training Loss: 1.2794 | eta: 0.004482
Epoch: 2 / 10 | Training Loss: 1.2587 | eta: 0.004477
Epoch: 2 / 10 | Training Loss: 1.2508 | eta: 0.004473
Epoch: 2 / 10 | Training Loss: 1.3273 | eta: 0.004468
Epoch: 2 / 10 | Training Loss: 1.2969 | eta: 0.004464
Epoch: 2 / 10 | Training Loss: 1.2743 | eta: 0.004459
Epoch: 2 / 10 | Training Loss: 1.3660 | eta: 0.004455
Epoch: 2 / 10 | Training Loss: 1.4443 | eta: 0.004451
Epoch: 2 / 10 | Training Loss: 1.3177 | eta: 0.004446
Epoch: 2 / 10 | Training Loss: 1.3618 | eta: 0.004442
Epoch: 2 / 10 | Training Loss: 1.2998 | eta: 0.004437
Epoch: 2 / 10 | Training Loss: 1.2680 | eta: 0.004433
Epoch: 2 / 10 | Training Loss: 1.2789 | eta: 0.004428
Epoch: 2 / 10 | Training Loss: 1.3593 | eta: 0.004424
Epoch: 2 / 10 | Training Loss: 1.3367 | eta: 0.004419
Epoch: 2 / 10 | Training Loss: 1.3009 | eta: 0.004415
Epoch: 2 / 10 | Training Loss: 1.4003 | eta: 0.004411
Epoch: 2 / 10 | Training Loss: 1.3587 | eta: 0.004406
Epoch: 2 / 10 | Training Loss: 1.3301 | eta: 0.004402
Epoch: 2 / 10 | Training Loss: 1.2787 | eta: 0.004397
Epoch: 2 / 10 | Training Loss: 1.4623 | eta: 0.004393
Epoch: 2 / 10 | Training Loss: 1.3845 | eta: 0.004389
Epoch: 2 / 10 | Training Loss: 1.4717 | eta: 0.004384
Epoch: 2 / 10 | Training Loss: 1.3612 | eta: 0.004380
Epoch: 2 / 10 | Training Loss: 1.3185 | eta: 0.004375
Epoch: 2 / 10 | Training Loss: 1.3520 | eta: 0.004371
Epoch: 2 / 10 | Training Loss: 1.2227 | eta: 0.004367
Epoch: 2 / 10 | Training Loss: 1.2517 | eta: 0.004362
Epoch: 2 / 10 | Training Loss: 1.2895 | eta: 0.004358
Epoch: 2 / 10 | Training Loss: 1.3752 | eta: 0.004354
Epoch: 2 / 10 | Training Loss: 1.3341 | eta: 0.004349
Epoch: 2 / 10 | Training Loss: 1.4004 | eta: 0.004345
Epoch: 2 / 10 | Training Loss: 1.3210 | eta: 0.004341
Epoch: 2 / 10 | Training Loss: 1.3701 | eta: 0.004336
Epoch: 2 / 10 | Training Loss: 1.3083 | eta: 0.004332
Epoch: 2 / 10 | Training Loss: 1.1707 | eta: 0.004328
Epoch: 2 / 10 | Training Loss: 1.3780 | eta: 0.004323
Epoch: 2 / 10 | Training Loss: 1.3382 | eta: 0.004319
Epoch: 2 / 10 | Training Loss: 1.3721 | eta: 0.004315
Epoch: 2 / 10 | Training Loss: 1.3637 | eta: 0.004310
Epoch: 2 / 10 | Training Loss: 1.3378 | eta: 0.004306
Epoch: 2 / 10 | Training Loss: 1.3173 | eta: 0.004302
Epoch: 2 / 10 | Training Loss: 1.3945 | eta: 0.004297
Epoch: 2 / 10 | Training Loss: 1.3074 | eta: 0.004293
Epoch: 2 / 10 | Training Loss: 1.4176 | eta: 0.004289
Epoch: 2 / 10 | Training Loss: 1.3515 | eta: 0.004285
Epoch: 2 / 10 | Training Loss: 1.4111 | eta: 0.004280
Epoch: 2 / 10 | Training Loss: 1.3767 | eta: 0.004276
Epoch: 2 / 10 | Training Loss: 1.3517 | eta: 0.004272
Epoch: 2 / 10 | Training Loss: 1.3595 | eta: 0.004267
Time elapsed by epoch 2: 99.21666666666667 mins.
Epoch: 3 / 10 | Training Loss: 1.3550 | eta: 0.004261
Epoch: 3 / 10 | Training Loss: 1.4835 | eta: 0.004257
Epoch: 3 / 10 | Training Loss: 1.3219 | eta: 0.004253
Epoch: 3 / 10 | Training Loss: 1.3661 | eta: 0.004249
Epoch: 3 / 10 | Training Loss: 1.4210 | eta: 0.004244
Epoch: 3 / 10 | Training Loss: 1.3121 | eta: 0.004240
Epoch: 3 / 10 | Training Loss: 1.3525 | eta: 0.004236
Epoch: 3 / 10 | Training Loss: 1.4122 | eta: 0.004232
Epoch: 3 / 10 | Training Loss: 1.3693 | eta: 0.004227
Epoch: 3 / 10 | Training Loss: 1.3716 | eta: 0.004223
Epoch: 3 / 10 | Training Loss: 1.3174 | eta: 0.004219
Epoch: 3 / 10 | Training Loss: 1.3124 | eta: 0.004215
Epoch: 3 / 10 | Training Loss: 1.2706 | eta: 0.004211
Epoch: 3 / 10 | Training Loss: 1.2293 | eta: 0.004206
Epoch: 3 / 10 | Training Loss: 1.2842 | eta: 0.004202
Epoch: 3 / 10 | Training Loss: 1.3013 | eta: 0.004198
Epoch: 3 / 10 | Training Loss: 1.3229 | eta: 0.004194
Epoch: 3 / 10 | Training Loss: 1.4046 | eta: 0.004190
Epoch: 3 / 10 | Training Loss: 1.3335 | eta: 0.004185
Epoch: 3 / 10 | Training Loss: 1.3078 | eta: 0.004181
Epoch: 3 / 10 | Training Loss: 1.2904 | eta: 0.004177
Epoch: 3 / 10 | Training Loss: 1.3476 | eta: 0.004173
Epoch: 3 / 10 | Training Loss: 1.3154 | eta: 0.004169
Epoch: 3 / 10 | Training Loss: 1.3657 | eta: 0.004165
Epoch: 3 / 10 | Training Loss: 1.2591 | eta: 0.004160
Epoch: 3 / 10 | Training Loss: 1.3376 | eta: 0.004156
Epoch: 3 / 10 | Training Loss: 1.3431 | eta: 0.004152
Epoch: 3 / 10 | Training Loss: 1.3053 | eta: 0.004148
Epoch: 3 / 10 | Training Loss: 1.3294 | eta: 0.004144
Epoch: 3 / 10 | Training Loss: 1.3581 | eta: 0.004140
Epoch: 3 / 10 | Training Loss: 1.3920 | eta: 0.004135
Epoch: 3 / 10 | Training Loss: 1.3439 | eta: 0.004131
Epoch: 3 / 10 | Training Loss: 1.3589 | eta: 0.004127
Epoch: 3 / 10 | Training Loss: 1.2768 | eta: 0.004123
Epoch: 3 / 10 | Training Loss: 1.3245 | eta: 0.004119
Epoch: 3 / 10 | Training Loss: 1.3693 | eta: 0.004115
Epoch: 3 / 10 | Training Loss: 1.2099 | eta: 0.004111
Epoch: 3 / 10 | Training Loss: 1.2615 | eta: 0.004107
Epoch: 3 / 10 | Training Loss: 1.5309 | eta: 0.004103
Epoch: 3 / 10 | Training Loss: 1.1870 | eta: 0.004098
Epoch: 3 / 10 | Training Loss: 1.3971 | eta: 0.004094
Epoch: 3 / 10 | Training Loss: 1.3079 | eta: 0.004090
Epoch: 3 / 10 | Training Loss: 1.2577 | eta: 0.004086
Epoch: 3 / 10 | Training Loss: 1.2945 | eta: 0.004082
Epoch: 3 / 10 | Training Loss: 1.3490 | eta: 0.004078
Epoch: 3 / 10 | Training Loss: 1.3948 | eta: 0.004074
Epoch: 3 / 10 | Training Loss: 1.3737 | eta: 0.004070
Epoch: 3 / 10 | Training Loss: 1.4684 | eta: 0.004066
Epoch: 3 / 10 | Training Loss: 1.4075 | eta: 0.004062
Epoch: 3 / 10 | Training Loss: 1.3228 | eta: 0.004058
Epoch: 3 / 10 | Training Loss: 1.3498 | eta: 0.004054
Epoch: 3 / 10 | Training Loss: 1.2865 | eta: 0.004050
Epoch: 3 / 10 | Training Loss: 1.2975 | eta: 0.004045
Epoch: 3 / 10 | Training Loss: 1.3391 | eta: 0.004041
Epoch: 3 / 10 | Training Loss: 1.3234 | eta: 0.004037
Epoch: 3 / 10 | Training Loss: 1.4273 | eta: 0.004033
Epoch: 3 / 10 | Training Loss: 1.3231 | eta: 0.004029
Epoch: 3 / 10 | Training Loss: 1.2568 | eta: 0.004025
Epoch: 3 / 10 | Training Loss: 1.4014 | eta: 0.004021
Epoch: 3 / 10 | Training Loss: 1.3126 | eta: 0.004017
Epoch: 3 / 10 | Training Loss: 1.3748 | eta: 0.004013
Epoch: 3 / 10 | Training Loss: 1.2944 | eta: 0.004009
Epoch: 3 / 10 | Training Loss: 1.1873 | eta: 0.004005
Epoch: 3 / 10 | Training Loss: 1.3506 | eta: 0.004001
Epoch: 3 / 10 | Training Loss: 1.2043 | eta: 0.003997
Epoch: 3 / 10 | Training Loss: 1.3631 | eta: 0.003993
Epoch: 3 / 10 | Training Loss: 1.1796 | eta: 0.003989
Epoch: 3 / 10 | Training Loss: 1.4185 | eta: 0.003985
Epoch: 3 / 10 | Training Loss: 1.2604 | eta: 0.003981
Epoch: 3 / 10 | Training Loss: 1.1994 | eta: 0.003977
Epoch: 3 / 10 | Training Loss: 1.1613 | eta: 0.003973
Epoch: 3 / 10 | Training Loss: 1.2963 | eta: 0.003969
Epoch: 3 / 10 | Training Loss: 1.3394 | eta: 0.003965
Epoch: 3 / 10 | Training Loss: 1.3528 | eta: 0.003961
