,date,price,market_cap,volume,community_score,dev_score,public_interest_score,5_SMA,10_SMA,25_SMA,50_SMA,75_SMA,100_SMA,150_SMA,200_SMA,250_SMA,300_SMA,350_SMA
0,10-09-2020,0.13274273347445584,0.033202003190021125,0.11738878424096258,0.18932261679670914,0.3000507284041337,0.20616663444809588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1,11-09-2020,0.1336117276549472,0.03399792041435148,0.1168408638960602,0.19001534707104598,0.3093479749816214,0.20616663444809588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,12-09-2020,0.13052577668868132,0.03317682193972451,0.10785797007925783,0.19040114135975,0.30934804052072795,0.20616663444809588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
3,13-09-2020,0.13142163895845785,0.033464040886263646,0.0949621971518137,0.0,0.2602094399910632,0.20616663444809588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
4,14-09-2020,0.10826386431243393,0.027565090150100804,0.09828530550596593,0.19114269630363656,0.2602094399910632,0.20616663444809588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
5,15-09-2020,0.11198729268140903,0.028518653885964362,0.09226280653200934,0.0001183796341374344,0.3068352934311296,0.20616663444809588,0.12316206005918587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
6,16-09-2020,0.09034262569203973,0.023051996861873925,0.07438404587828472,0.1923041624291557,0.3069191177949243,0.22373381016818095,0.11450823966660437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
7,17-09-2020,0.0930689819844175,0.02369055316429464,0.07814792489857914,0.19282336088098956,0.34821238126722676,0.22373381016818095,0.10701688072575162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
8,18-09-2020,0.0924528554488455,0.02319966617269194,0.08565754361761024,0.19314741232851343,0.36111180629687584,0.22373381016818095,0.09922312402382916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
9,19-09-2020,0.07547612984421981,0.019260950542520174,0.08581164854099875,0.19384473890928633,0.36546733824279626,0.22373381016818095,0.09266557713018633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
10,20-09-2020,0.07940013624840331,0.02026228213549843,0.07081736905825568,0.00015364454783371823,0.3536853070602246,0.22373381016818095,0.08614814584358517,0.10465510295138554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
11,21-09-2020,0.06873838273470927,0.017458508547236615,0.06704501925746678,0.1943623462542819,0.3536852622604242,0.22373381016818095,0.08182729725211908,0.09816776845936173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
12,22-09-2020,0.04267833357973118,0.01123753423228449,0.0890060667037868,0.19707731731453756,0.3797900751135551,0.22373381016818095,0.07174916757118181,0.08938302414846673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
13,23-09-2020,0.05483797564593264,0.013890423005454912,0.06602613653851609,0.19772017883005952,0.39964107731577236,0.22373381016818095,0.06422619161059924,0.0817246578172142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
14,24-09-2020,0.03123596009596521,0.008117081182589967,0.045535109477373555,0.1982400658740045,0.40268418847096016,0.22373381016818095,0.055378157660948314,0.07402186739556733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
15,25-09-2020,0.047996036846349684,0.012284206260498825,0.008181413291780747,0.19892861446616858,0.4185704311578979,0.22373381016818095,0.049097337780537584,0.06762274181206139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
16,26-09-2020,0.06442458254824783,0.016341696406738385,0.009162442432678414,0.19939075819553978,0.41929625587862385,0.22373381016818095,0.0482345777432453,0.0650309374976822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
17,27-09-2020,0.07046983166666426,0.01775930067293174,0.006638291073389057,0.0002751680181139783,0.2304755994115087,0.22373381016818095,0.053792877360631916,0.06277102246590686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
18,28-09-2020,0.0628743977329223,0.016101404775508834,0.0,0.20038976763044766,0.2304755994115087,0.22373381016818095,0.05540016177802985,0.05981317669431454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
19,29-09-2020,0.0702651140522187,0.01757739456587185,0.009619717869278144,0.00029887450006874555,0.23041984322174777,0.22373381016818095,0.06320599256928056,0.05929207511511443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20,30-09-2020,0.07482687325088039,0.018928087046300317,0.030377661043712114,0.2019613118422516,0.2540397220487477,0.22373381016818095,0.06857215985018669,0.058834748815362124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
21,01-10-2020,0.08187161448384177,0.01920924913515228,0.033312112541432584,0.20257461549549477,0.25445859856804715,0.20782013752727072,0.07206156623730549,0.06014807199027537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
22,02-10-2020,0.07340528633834151,0.018680279996829866,0.05943571538092411,0.2028217003401953,0.2547936931275103,0.20782013752727072,0.07264865717164094,0.06322076726613642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
23,03-10-2020,0.06194363140641811,0.01579603064923966,0.0908495446912303,0.20319283349291714,0.26450973459587585,0.20782013752727072,0.0724625039063401,0.06393133284218497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
