,date,price,market_cap,volume,community_score,dev_score,public_interest_score
0,13-04-2021,37.492474537633,1199819844210.978,142188855961.6947,647812.341,1706.7823529411764,8118
1,12-04-2021,36.06647913724986,1158262380034.459,108261922460.82036,643409.2423333334,1706.7823529411764,8118
2,11-04-2021,34.65032481677389,1110751413641.397,75086375885.11635,639362.9473333334,1706.7823529411764,8118
3,10-04-2021,34.27233812675947,1097653363015.1936,58557710608.57843,635302.863,1706.7823529411764,8118
4,09-04-2021,34.95500247294709,1110543588718.2449,79751792147.2876,631767.5383333334,1706.7823529411764,8118
5,08-04-2021,33.389783211292915,1072769089559.4705,126064976219.50012,628395.4493846154,1706.7823529411764,8118
6,07-04-2021,35.71217709854122,1143051311388.8,162619844698.8955,625360.1406923077,1706.7823529411764,8118
7,06-04-2021,34.47482943865516,1103876511830.4812,87873785153.6667,621088.1666666666,1706.7823529411764,8118
8,05-04-2021,33.781301816806106,1082451904290.3832,71789871018.13188,616982.159,1706.7823529411764,8118
9,04-04-2021,33.27652599874386,1066311444818.0193,101103109191.35869,613400.0060769231,1706.7823529411764,8118
10,03-04-2021,33.97956549145985,1089727893350.3693,88929370200.4552,610192.9013333333,1706.7823529411764,8118
11,02-04-2021,33.73433901950146,1079938151549.6967,74889855422.65677,606806.1153846154,1706.7823529411764,8118
12,01-04-2021,33.84562882220696,1086254614241.5438,95384298830.5068,603303.2115384615,1706.7823529411764,8118
13,30-01-2021,9.73583417616687,304546762736.69696,72466118524.51237,300143.84866666666,1706.7823529411764,30705
14,29-01-2021,9.631331965862081,301146287679.92163,58784158877.54071,296838.6436666667,1706.7823529411764,30705
15,28-01-2021,8.725466228355861,269709504562.24182,51559153577.80573,293217.8486666667,1706.7823529411764,30705
16,27-01-2021,9.602658544225182,298978693697.0729,51602589968.304306,291294.96153846156,1706.7823529411764,30705
17,26-01-2021,9.614566198751081,299264469247.06824,62536916787.38527,290352.083,1706.7823529411764,30705
18,25-01-2021,9.847792993616858,305065114900.13495,80282083682.05524,289465.4243333333,1706.7823529411764,30705
19,24-01-2021,9.689181656776665,301352750244.4016,83020226424.93906,288598.1153846154,1706.7823529411764,30705
20,24-11-2020,4.381890129848306,134892666501.41235,45177924093.65932,258009.32692307694,1706.7823529411764,42419
