date,price,market_cap,volume,community_score,public_interest_score,fear_greed,price_5_SMA,price_10_SMA,price_25_SMA,price_50_SMA,price_75_SMA,price_100_SMA,price_150_SMA,price_200_SMA,price_250_SMA,price_300_SMA,price_350_SMA,fear_greed_3_SMA,fear_greed_5_SMA,fear_greed_7_SMA,fear_greed_9_SMA,fear_greed_11_SMA,fear_greed_13_SMA,fear_greed_15_SMA,fear_greed_30_SMA,signal
2021-02-13,63.18347264832963,78150720926.83704,114826591592.26628,67115.19733333333,34817.0,92,42.464250996562455,33.4349042129287,23.21106840305327,16.788953682023987,0.0,0.0,0.0,0,0,0,0,92.33333333333333,92.8,90.42857142857143,88.66666666666667,86.9090909090909,85.3076923076923,84.2,78.83333333333333,2.0
2021-02-14,65.70335610085138,80675250556.24951,35079932603.48458,68026.78846153847,34817.0,95,50.172178216586794,37.69853145298184,25.23687956514854,17.90203897203936,0.0,0.0,0.0,0,0,0,0,93.0,92.8,91.71428571428571,90.22222222222223,88.45454545454545,86.6923076923077,85.46666666666667,79.06666666666666,2.0
2021-02-15,61.28697687812498,75066594813.07642,30513123237.723072,9464.692307692309,34817.0,93,56.548714825629794,41.55997912408296,27.1034164552562,18.85605595907558,0.0,0.0,0.0,0,0,0,0,93.33333333333333,93.0,93.14285714285714,91.22222222222223,89.63636363636364,88.0,86.46666666666667,79.36666666666666,2.0
2021-02-16,59.57506898067436,72156488164.17874,35655783714.01228,9655.310333333333,27786.0,95,61.40442967591899,44.86760863368032,28.995380662789806,19.82583524801656,0.0,0.0,0.0,0,0,0,0,94.33333333333333,93.4,93.14285714285714,92.22222222222223,90.9090909090909,89.3076923076923,87.66666666666667,79.9,2.0
2021-02-17,58.03081591916494,71196135938.25444,15498074049.365631,9794.134615384615,27786.0,95,61.55593810542905,48.24799915232838,30.74690816137276,20.771589334446027,0.0,0.0,0.0,0,0,0,0,94.33333333333333,94.0,93.57142857142857,93.55555555555556,91.9090909090909,90.46153846153847,88.93333333333334,80.43333333333334,2.0
2021-02-18,61.07765070131908,74643748078.65573,19951372801.016487,73536.57566666667,27786.0,91,61.13477371602694,51.79951235629469,32.5348994548537,21.784279948484837,0.0,0.0,0.0,0,0,0,0,93.66666666666667,93.8,93.28571428571429,93.11111111111111,92.36363636363636,91.23076923076923,89.8,80.8,2.0
2021-02-19,64.10199629772278,78583746883.42711,21614641943.921005,73880.71266666667,27786.0,93,60.81450175540122,55.493339985993984,34.4753772047111,22.855792356215638,0.0,0.0,0.0,0,0,0,0,93.0,93.4,93.42857142857143,93.22222222222223,93.27272727272727,91.92307692307692,90.66666666666667,81.3,2.0
2021-02-20,60.902540102462325,73753631101.10211,15887281448.424429,75109.79453846153,27786.0,91,60.7376144002687,58.64316461294923,36.31801276511836,23.87672601411285,0.0,0.0,0.0,0,0,0,0,91.66666666666667,93.0,93.28571428571429,93.0,92.9090909090909,92.3076923076923,91.33333333333333,81.83333333333333,2.0
2021-02-21,64.76185995230232,77404048559.50113,37949476139.27245,76196.53846153847,27786.0,91,61.77497259459428,61.58970113525662,38.30939077566814,24.968425703110878,0.0,0.0,0.0,0,0,0,0,91.66666666666667,92.2,92.71428571428571,92.88888888888889,92.81818181818181,92.92307692307692,91.8,83.53333333333333,2.0
2021-02-22,63.73820697198365,78014072803.51408,16244340383.143509,10658.371666666668,27786.0,94,62.91645080515802,62.23619445529353,40.315131968115914,26.059092407189432,0.0,0.0,0.0,0,0,0,0,92.0,92.0,92.85714285714286,93.11111111111111,92.9090909090909,92.84615384615384,92.33333333333333,84.2,2.0
2021-02-23,56.469023217630784,68822985403.97076,30647543593.513115,77395.73466666667,27786.0,94,61.99472530842036,61.56474951222365,41.94153016024915,27.021631548545933,0.0,0.0,0.0,0,0,0,0,93.0,92.6,92.71428571428571,93.0,93.0909090909091,93.0,93.06666666666666,85.0,2.0
2021-02-24,47.16798812873379,56796396455.900734,34530578187237.0,10884409.0,27786.0,76,58.607923674622555,59.71121271501189,43.207907572529585,27.796013682892614,0.0,0.0,0.0,0,0,0,0,88.0,89.2,90.0,91.11111111111111,91.63636363636364,91.6923076923077,91.8,85.06666666666666,1.0
2021-02-25,52.85437533642151,64151019844.37798,21221213226.80142,79045.67915384615,27786.0,79,56.9982907214144,58.867952560841545,44.609752477026035,28.666115195675513,0.0,0.0,0.0,0,0,0,0,83.0,86.8,88.28571428571429,89.33333333333333,90.18181818181819,90.6923076923077,90.93333333333334,85.33333333333333,1.0
2021-02-26,47.910815921589545,58750536787.49196,14637144045.55929,10933.51923076923,27786.0,55,53.628081915271856,57.70152725493307,45.63256948882402,29.41651915950415,0.0,0.0,0.0,0,0,0,0,70.0,79.6,82.85714285714286,84.88888888888889,86.72727272727273,87.84615384615384,88.4,84.56666666666666,1.0
2021-02-27,48.2251001789774,58677475432.87856,16076429624.73457,11018.877538461536,27786.0,56,50.52546055667061,56.720955680914315,46.69046352345651,30.186191992782497,0.0,0.0,0.0,0,0,0,0,63.333333333333336,72.0,77.85714285714286,81.0,83.18181818181819,84.84615384615384,86.0,84.6,1.0
2021-02-28,47.29147150809455,58046581760.849495,8639737944.21474,80401.50766666667,27786.0,55,48.68995021476336,55.342337761591864,47.73785153301362,30.947285385220038,0.0,0.0,0.0,0,0,0,0,55.333333333333336,64.2,72.71428571428571,76.77777777777777,79.54545454545455,81.92307692307692,83.53333333333333,83.86666666666666,1.0
2021-03-01,43.88140960945,53776095397.75675,10486064200.28386,11167.030666666667,25525.0,38,48.0326345109066,53.320279092764586,48.57042456937882,31.62860938731941,0.0,0.0,0.0,0,0,0,0,49.666666666666664,56.6,64.71428571428571,70.88888888888889,74.72727272727273,77.53846153846153,79.73333333333333,82.6,0.0
2021-03-02,53.02929799601403,64403989748.552414,14293694306.338806,81423083.0,25525.0,78,48.06761904282509,52.53295488211976,49.784696482534834,32.505321896566045,0.0,0.0,0.0,0,0,0,0,57.0,56.4,62.42857142857143,69.44444444444444,73.36363636363636,76.23076923076923,78.73333333333333,82.6,1.0
2021-03-03,50.86078283908278,62110183232.40963,14265123450.711132,11383166.0,25525.0,78,48.657612426323745,51.1428471707978,50.75917684071012,33.35980763360735,0.0,0.0,0.0,0,0,0,0,64.66666666666667,61.0,62.714285714285715,67.66666666666667,72.18181818181819,75.23076923076923,77.6,82.63333333333334,1.0
2021-03-04,54.79478851963601,67387189014.27897,16220721774.777956,83079.53138461539,25525.0,84,49.97155009445546,50.24850532556304,51.98189195218819,34.30100258006499,0.0,0.0,0.0,0,0,0,0,80.0,66.6,63.42857142857143,66.55555555555556,71.54545454545455,74.53846153846153,76.86666666666666,82.9,2.0
2021-03-05,51.892351190788034,63686717834.9883,11012684386.836578,83428.24233333333,25525.0,77,50.89172603099415,49.79083812287876,53.03508525335347,35.15570644806216,0.0,0.0,0.0,0,0,0,0,79.66666666666667,71.0,66.57142857142857,66.66666666666667,70.0,73.46153846153847,75.93333333333334,82.86666666666666,1.0
2021-03-06,51.46135333481398,62778307666.45696,8671123539.511719,83775.74392307692,25525.0,77,52.40771477606695,50.22017464348678,54.006990586716846,35.99801026963581,0.0,0.0,0.0,0,0,0,0,79.33333333333333,78.8,69.57142857142857,66.44444444444444,68.45454545454545,72.38461538461539,74.86666666666666,82.76666666666667,1.0
2021-03-07,50.3175405644644,61638958913.01108,5479990524.516266,84208.94838461539,25525.0,76,51.865363289757035,49.966491166291064,54.84352045597903,36.814976064264535,0.0,0.0,0.0,0,0,0,0,76.66666666666667,78.4,72.57142857142857,68.77777777777777,68.45454545454545,71.0,73.86666666666666,82.6,1.0
2021-03-08,52.6271769954184,64483750520.34795,8187689427.186539,11583.992923076925,25525.0,81,52.21864212102415,50.43812727367394,55.53674774662663,37.60484185057013,0.0,0.0,0.0,0,0,0,0,78.0,79.0,78.71428571428571,71.55555555555556,68.63636363636364,70.0,73.2,82.5,1.0
2021-03-09,53.966830603117046,66080099277.4219,9619723704.710505,11695.057692307691,25525.0,81,52.05305053772035,51.01230031608791,55.40449001988672,38.390017443837465,0.0,0.0,0.0,0,0,0,0,79.33333333333333,78.4,79.14285714285714,74.44444444444444,71.0,70.38461538461539,72.33333333333333,82.33333333333333,1.0
2021-03-10,60.2347139202152,73795891288.35303,21708836235.48653,11777.307692307691,25525.0,68,53.72152308360579,52.30662455729997,55.28653967076215,39.2488040369077,29.6214823449367,0.0,0.0,0,0,0,0,76.66666666666667,76.6,77.71428571428571,77.77777777777777,72.0909090909091,69.53846153846153,70.6,81.83333333333333,2.0
2021-03-11,57.30738376700297,70152336222.51422,15073453407.65362,86099.34866666667,25525.0,73,54.8907291700436,53.649221973055276,54.95070077740821,40.093790171278364,30.25159290716231,0.0,0.0,0,0,0,0,74.0,75.8,76.14285714285714,77.22222222222223,73.72727272727273,70.92307692307692,70.4,81.1,2.0
