date,price,market_cap,volume
05-10-2021,61.238327,1969074558569.600098,45492166056.201958
04-10-2021,62.725689,2014068388839.517334,43342244578.462265
03-10-2021,62.405272,1999938009079.016113,60952484567.286003
01-10-2021,58.951296,1888721584547.017822,58285210912.573906
30-09-2021,57.287973,1831776417940.950195,63941887813.447899
29-09-2021,56.557189,1819417129607.550293,70608112379.170609
28-09-2021,59.180637,1897709411043.381104,66030325109.684464
