date,price,market_cap,volume,community_score,public_interest_score,fear_greed,price_5_SMA,price_10_SMA,price_25_SMA,price_50_SMA,price_75_SMA,price_100_SMA,price_150_SMA,price_200_SMA,price_250_SMA,price_300_SMA,price_350_SMA,fear_greed_3_SMA,fear_greed_5_SMA,fear_greed_7_SMA,fear_greed_9_SMA,fear_greed_11_SMA,fear_greed_13_SMA,fear_greed_15_SMA,fear_greed_30_SMA,signal
2020-05-10,82.21630724128515,15368141543.10767,5193355071.825181,41314.28138461538,88245.0,48,81.4905884543186,82.44712028018009,78.85297413546607,71.82364971951438,77.1084204232843,92.58586228211433,105.19914906149292,106.05497321621625,0.0,0.0,0.0,53.0,50.0,47.714285714285715,46.55555555555556,45.72727272727273,42.69230769230769,40.266666666666666,28.3,1.0
2020-05-11,75.10787736026217,14036522770.956444,5975119677.4964485,8441.212666666666,88245.0,40,80.37149139190153,81.83250821804724,79.12578998968246,72.01909372056107,76.46945255473018,92.0070353246242,104.87158991397962,106.02088411689142,0.0,0.0,0.0,48.0,49.6,47.142857142857146,46.55555555555556,45.36363636363637,43.76923076923077,41.53333333333333,29.133333333333333,0.0
2020-05-12,71.3287856370552,13358867613.3926,5087161592.057476,41342977.0,88245.0,39,78.76861172655363,80.5036027101377,79.08273611230801,72.28254566373545,75.94496915104503,91.39331818229708,104.54557195872592,105.94617389496788,0.0,0.0,0.0,42.333333333333336,47.6,47.0,45.888888888888886,45.27272727272727,44.76923076923077,42.266666666666666,30.1,0.0
2020-05-13,74.30899590549545,13897452484.82849,4057630810.6193366,8455.5,88245.0,41,77.35888467068408,79.34837675190262,79.20524768778927,72.49312622472908,75.4494209503575,90.79735023121802,104.19196229099974,105.85440972019433,0.0,0.0,0.0,40.0,44.8,46.857142857142854,45.55555555555556,45.36363636363637,44.53846153846154,43.266666666666666,31.1,0.0
2020-05-14,76.15625928181909,14242480042.731094,4044631111.870857,8461.151333333333,88245.0,40,75.82364508518341,78.66257387078217,79.23745621380164,72.72177433560474,75.035864647663,90.26851996138475,103.79103726387694,105.76506869133317,0.0,0.0,0.0,40.0,41.6,45.57142857142857,45.55555555555556,44.90909090909091,44.53846153846154,44.2,31.933333333333334,0.0
2020-05-15,75.33175830102519,14081320750.410791,4906744770.1407175,41398.55161538462,88245.0,44,74.44673529713143,77.9686618757249,79.38420253876173,72.9645579133285,74.64974411237417,89.75224892830414,103.47949939940209,105.65525954973359,0.0,0.0,0.0,41.666666666666664,40.8,44.0,45.77777777777778,44.90909090909091,44.84615384615385,44.2,32.8,0.0
2020-05-16,73.93411188080022,13789746009.004955,4400562997.854237,8463.967615384616,115651.0,41,74.21198220123904,77.29173679657018,79.6069122710288,73.13864478170791,74.28018533705767,89.19665200435612,103.2449137276149,105.55042294056739,0.0,0.0,0.0,41.666666666666664,41.0,41.857142857142854,44.888888888888886,45.0,44.53846153846154,44.266666666666666,33.733333333333334,0.0
2020-05-17,76.58907943608666,14310432781.358591,4215864582.353385,41463.72033333334,115651.0,40,75.26404096104532,77.01632634379936,79.93635482496109,73.46536982321065,73.82780060150125,88.58906752186118,102.88994222522281,105.45334284555312,0.0,0.0,0.0,41.666666666666664,41.2,40.714285714285715,43.22222222222222,44.81818181818182,44.23076923076923,44.266666666666666,34.56666666666667,1.0
2020-05-18,76.06530229168122,14225152611.356216,3985281455.955514,8477.825666666666,115651.0,50,75.61530223828248,76.48709345448317,80.1093742177276,73.79326909290127,73.40073018697963,87.89560586052313,102.5418690407062,105.37603553395955,0.0,0.0,0.0,43.666666666666664,43.0,42.142857142857146,42.55555555555556,44.90909090909091,45.0,44.6,35.63333333333333,1.0
2020-05-19,77.63049816915382,14484566775.115078,4505353407.185378,41481.80266666666,115651.0,50,75.91015001574944,75.86689755046632,80.33471327198188,74.22716684391135,72.94827943340486,87.26947029622976,102.19721470900777,105.26607944572004,0.0,0.0,0.0,46.666666666666664,45.0,43.714285714285715,42.77777777777778,44.45454545454545,45.61538461538461,45.0,36.766666666666666,1.0
2020-05-20,78.05560193448166,14574529211.605436,2879534726.8957853,41525.45446153846,115651.0,52,76.45491874244074,75.45082701978598,80.1556533257752,74.5972390069847,72.48393739338016,86.6192210192624,101.9018608364703,105.15702954175906,0.0,0.0,0.0,50.666666666666664,46.6,45.285714285714285,44.111111111111114,44.09090909090909,45.84615384615385,45.8,38.0,1.0
