date,price,market_cap,volume
05-10-2021,54.235599,332794122459.323242,28434935847.111488
04-10-2021,55.308267,337496108525.492737,19110216344.156307
03-10-2021,49.220365,298693655005.984497,13849663415.645227
02-10-2021,49.259685,296574068752.429382,14343988929.271378
01-10-2021,45.199856,271498786504.556763,11504889497.503139
30-09-2021,44.501008,265717982387.149475,12322460501.406580
29-09-2021,43.174540,258468764376.734528,12649042710.329500
28-09-2021,46.395412,275316913901.723816,15172125000.834578
