date,price,market_cap,volume
04-10-2021,95147.342848,11217882970219.792969,503462061412.471497
03-10-2021,94249.276402,11092889370707.433594,592474386690.164917
02-10-2021,91782.822541,10801148053779.349609,676702295406.921143
01-10-2021,83929.402704,9879440364262.253906,540325084135.727173
30-09-2021,79456.822424,9334193561286.322266,487561240605.072205
29-09-2021,77680.491632,9176510398081.126953,526626903057.520691
28-09-2021,81339.438190,9573859875320.787109,578012408815.221924
