,date,price,market_cap,volume,community_score,dev_score,public_interest_score,5_SMA,10_SMA,25_SMA,50_SMA,75_SMA,100_SMA,150_SMA,200_SMA,250_SMA,300_SMA,350_SMA
0,2019-10-20,0.0075298310683468515,0.007359122020205068,0.0009816649137345985,0.16427890504016102,0.008537021413831704,0.9796010256723343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2019-10-21,0.007775004719366934,0.007593866476937687,0.0003815397728781552,0.16420408685617896,0.008537021413831704,0.9796010256723343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2019-10-22,0.0076203565351307375,0.0074713180173136004,0.00020413466523390187,0.16417396387253683,0.007223633504011442,0.9796010256723343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2019-10-23,0.007360423927899988,0.0072007113457887,0.00033527706915475433,0.16423701081728942,0.00591024559419118,0.9796010256723343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2019-10-24,0.006296353173502098,0.006164741415339236,0.001192694923417198,0.16435703659238884,0.00591024559419118,0.9796010256723343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2019-10-25,0.006717439551469114,0.006580340137718797,0.0008523015961076005,3.0247683073818862e-05,0.00591024559419118,0.9796010256723343,0.007153915581473774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2019-10-26,0.008572546781609508,0.00835974198607726,0.0038070083479480607,0.16454107433701085,0.01247718514329249,0.9796010256723343,0.0073134239939222885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2019-10-27,0.008338481035519787,0.008121868566119066,0.007821398725631949,0.00011616559155197672,0.01247718514329249,0.9796010256723343,0.007457048894000099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2019-10-28,0.0090467654203345,0.008838612489448183,0.008141158484074642,0.16431761602148034,0.01247718514329249,0.9796010256723343,0.0077943171924870006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2019-10-29,0.009106077178316171,0.008901457443583954,0.006278407183472523,0.16432204010188908,0.01247718514329249,0.9796010256723343,0.008356261993449816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2019-10-30,0.00954388257450907,0.009307185558032824,0.0044641736540703995,0.0,0.21276884139088248,0.9796010256723343,0.008921550598057807,0.00803773308976579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2019-10-31,0.008743080896370027,0.008520494668445828,0.004951655351109303,0.1646652516618943,0.21276884139088248,1.0,0.00895565742100991,0.0081345407074661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2019-11-01,0.008649106096930821,0.008464420402258251,0.003344450188511753,0.16454171701674836,0.21276884139088248,0.996939772276321,0.009017782433292118,0.008237415663646108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2019-11-02,0.009008990672620452,0.008803006684715177,0.0028458235292458294,0.16442066381225923,0.21276884139088248,0.996939772276321,0.009010227483749309,0.008402272338118156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2019-11-03,0.009143792144622033,0.008946192978500243,0.0016416750023510278,0.16444241985644903,0.21276884139088248,0.996939772276321,0.009017770477010481,0.00868701623523015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2019-11-04,0.008813273534468447,0.0086313756078878,0.0007388544879108586,4.2227520232011845e-06,0.05647568012227128,0.996939772276321,0.008871648669002356,0.008896599633530084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2019-11-05,0.009380343938042367,0.009120710761901105,0.0029331345155240844,0.16448332613406086,0.21276884139088248,0.996939772276321,0.008999101277336824,0.008977379349173368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2019-11-06,0.009890914745576978,0.009661433950551418,0.00453818231842118,0.16459716536281419,0.05647568012227128,0.996939772276321,0.009247463007066055,0.009132622720179086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2019-11-07,0.01021437581180524,0.009927633193710983,0.003570762673564581,0.16469613895463536,0.05647568012227128,0.996939772276321,0.009488540034903011,0.009249383759326161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,2019-11-08,0.009512041403135644,0.009306617163986949,0.002962366029849006,0.16472404233400464,0.05647568012227128,0.996939772276321,0.009562189886605734,0.00928998018180811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,2019-11-09,0.008986371871728613,0.008775125958763364,0.003206450511890872,0.16485501647087744,0.05647568012227128,0.996939772276321,0.009596809554057766,0.009234229111530063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,2019-11-10,0.009080456098388656,0.008898319508231143,0.0005767938479641128,0.1649086812990956,0.05647568012227128,0.996939772276321,0.009536831986127026,0.009267966631731928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,2019-11-11,0.009775377204308634,0.00954526654660334,0.0032019380784916065,0.16489712746167662,0.05647568012227128,0.996939772276321,0.009513724477873357,0.009380593742469709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,2019-11-12,0.009429893559742464,0.00921945263154421,0.002033367987344188,0.16496344230158705,0.05647568012227128,0.996939772276321,0.009356828027460802,0.00942268403118191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,2019-11-13,0.009701099144963607,0.009500120553286669,0.003863246348981711,0.16511545416089485,0.05647568012227128,0.996939772276321,0.009394639575826395,0.009478414731216068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,2019-11-14,0.009577460264441418,0.009403480866571421,0.0009342757045812956,0.16516176367544516,0.05647568012227128,0.996939772276321,0.009512857254368956,0.009554833404213365,0.008811356331392132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,2019-11-15,0.009328599927282124,0.00912781421210989,0.0020572369125735645,0.16509796892364642,0.05647568012227128,0.996939772276321,0.009562486020147651,0.00954965900313734,0.00887350013970874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,2019-11-16,0.009903895876936887,0.00965821423572193,0.004569006445991594,0.1649901873606641,0.05647568012227128,0.8994780060441405,0.009588189754673302,0.00955095711627333,0.008964841713380986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,2019-11-17,0.009882120925800812,0.00965513153133215,0.00298093543655359,0.16508960395095418,0.05581898616736115,0.8994780060441405,0.009678635227884971,0.009517731627672886,0.009065709593297019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,2019-11-18,0.010416539758952636,0.010159089867212714,0.003413069447048872,0.1652788288642031,0.003940163729460787,0.8994780060441405,0.009821723350682777,0.009608181463254584,0.00923051705671504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,2019-11-19,0.009553206129797372,0.009364276980231989,0.0066657112771899285,0.16531735118193333,0.003940163729460787,0.8994780060441405,0.009816872523753968,0.009664864889061462,0.00934394771984817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,2019-11-20,0.00899115670845039,0.008784679623235469,0.005283450991021795,0.16530888181332196,0.0190441246923938,0.8994780060441405,0.009749383879987621,0.009655934950067635,0.009360692116921804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,2019-11-21,0.008429618166515704,0.008247083639571313,0.0036228121536078005,0.16528705689811676,0.0190441246923938,0.8994780060441405,0.009454528337903384,0.009521359046288341,0.009364337602161642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,2019-11-22,0.0072251042353398,0.007084020189699763,0.0030296677658453327,0.16524001629910617,0.10704111465035138,0.8994780060441405,0.008923124999811181,0.009300880113848074,0.009291471154761855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,2019-11-23,0.006640991131259079,0.006462873736361888,0.005423985057738345,0.1651391552397821,0.3887628213067976,0.8994780060441405,0.00816801527427247,0.008994869312477623,0.009192867712879572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,2019-11-24,0.007025885618185214,0.006885326914532664,0.002431627814280006,0.16518389055714316,0.3887628213067976,0.8994780060441405,0.0076625511719500385,0.008739711847852003,0.009092147834626616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
