,date,price,market_cap,volume,community_score,dev_score,public_interest_score,5_SMA,10_SMA,25_SMA,50_SMA,75_SMA,100_SMA,150_SMA,200_SMA,250_SMA,300_SMA,350_SMA
0,2020-04-11,0.008613438125691512,3.2975876220205713e-07,6.087844564481873e-05,0.0001570309608421385,0.07132389265597,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2020-04-12,0.005278037465115662,1.8151023225829466e-07,3.232206225073552e-05,0.0,0.03029192433281199,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-04-13,0.007039027925184666,2.7974892470031426e-07,2.4631721924187383e-05,0.0001579170714361472,0.030503392261114266,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-04-14,0.005345433225693018,1.9414097443506328e-07,1.2601844134722398e-05,0.16430814741260763,0.031578072121893695,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-04-15,0.002998335495090368,1.0370482440906798e-07,1.1216560180213286e-05,0.00015931523880319872,0.039090430454400416,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2020-04-16,0.002459276030889123,8.730036353635513e-08,8.017491132870021e-06,0.00015930991267279753,0.05092231191267246,1.0,0.004624022028394567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-04-17,0.0035065906794109424,1.2201259783181755e-07,1.4937829331745913e-05,0.00015950739380899743,0.057051453642536776,1.0,0.004269732671253623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2020-04-18,0.0028280260284548704,1.0773325877536e-07,6.399947412908299e-06,0.00015949022659501877,0.05713119004417612,1.0,0.0034275322919076643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2020-04-19,0.003204801011764641,1.1443493197643541e-07,6.381624596723432e-06,0.005478822907340189,0.03567919504790754,1.0,0.002999405849121989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2020-04-20,0.0019002266503914097,6.252567718275139e-08,6.109849895817027e-06,0.0001592916453506951,0.03569652328593674,1.0,0.0027797840801821977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2020-04-21,0.00045805510806818284,1.2319571775411035e-08,5.431153835090959e-06,0.00015927186848609652,0.04123980194891669,1.0,0.00237953989561801,0.003501780962006288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2020-04-22,0.001205543793258821,4.041203503002784e-08,5.998726871545732e-06,0.1645778785039977,0.04978177215917127,1.0,0.0019193305183875856,0.0030945315948206044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2020-04-23,0.003367231139668825,1.1688075556440853e-07,1.1644302129911239e-05,0.00015925456378763206,0.057415463603806685,1.0,0.0020271715406303763,0.00272735191626902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2020-04-24,0.0021341610144549493,6.826264109048745e-08,8.66629985520337e-06,0.00015920774962350275,0.05931522403757444,1.0,0.001813043541168438,0.0024062246951452133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2020-04-25,0.0021746421113457287,7.953946749838574e-08,5.5698436629051155e-06,0.00015906834917991182,0.06406460774887524,1.0,0.001867926633359302,0.0023238553567707493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2020-04-26,0.002645140953052576,9.270144202437828e-08,4.488057889902979e-06,8.168947277484938e-08,0.033599168745604834,1.0,0.0023053438023561803,0.0023424418489870944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2020-04-27,0.002505465117122075,8.948459656298077e-08,5.261579432003322e-06,0.00015905756849187865,0.03389037232078377,1.0,0.0025653280671288315,0.002242329292758208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2020-04-28,0.0010764223265760666,4.030771455997233e-08,4.605396824017025e-06,0.00015873005582953112,0.03569998833816822,1.0,0.0021071663045102796,0.0020671689225703273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2020-04-29,0.0027820234842563874,1.002355459732371e-07,4.505105290826546e-06,0.16449107981046648,0.07474552690858542,1.0,0.0022367387984705673,0.002024891169819502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,2020-04-30,0.004339423744483023,1.53113513276202e-07,5.52199562688591e-06,0.16428077336898161,0.07698155457886616,1.0,0.0026696951250980263,0.002268810879228663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,2020-05-01,0.003395684587320391,1.2893605210430296e-07,3.034652087118789e-06,0.16435968017434271,0.08526352481864245,0.917225682798275,0.002819803851951589,0.002562573827153884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,2020-05-02,0.003909197796819445,1.3998441426792712e-07,2.385088609633633e-06,0.00015914806463557623,0.08528779383635442,0.917225682798275,0.0031005503878910627,0.0028329392275099462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,2020-05-03,0.0038229235129018596,1.3406985884191088e-07,1.913780761609427e-06,9.96084389166058e-08,0.06988173580753645,0.917225682798275,0.0036498506251562216,0.00287850846483325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
