date,price,market_cap,volume,community_score,public_interest_score,fear_greed,price_5_SMA,price_10_SMA,price_25_SMA,price_50_SMA,price_75_SMA,price_100_SMA,price_150_SMA,price_200_SMA,price_250_SMA,price_300_SMA,price_350_SMA,fear_greed_3_SMA,fear_greed_5_SMA,fear_greed_7_SMA,fear_greed_9_SMA,fear_greed_11_SMA,fear_greed_13_SMA,fear_greed_15_SMA,fear_greed_30_SMA
2020-08-02,0.5788061063064465,0.5834018037366467,0.12313017262131068,8.471862058292989e-05,1.0,0.26,0.7565996642170424,0.7719240325643248,0.8504212777981299,1.0,1.0,1.0,0.9695417116681335,0.0,0.0,0.0,0.0,0.41666666666666663,0.516,0.5685714285714285,0.5855555555555556,0.5845454545454545,0.5923076923076923,0.5926666666666667,0.599
2020-08-03,0.5311322783675031,0.531289998916673,0.1364927801244221,9.068187578942775e-05,1.0,0.27,0.7627079127766451,0.764579711468698,0.8531684646788606,1.0,1.0,1.0,0.968846975713084,0.0,0.0,0.0,0.0,0.28,0.426,0.5114285714285715,0.5433333333333333,0.5472727272727272,0.5623076923076923,0.5766666666666667,0.5816666666666667
2020-08-04,0.5641265833459858,0.5656616802180339,0.14586293099829858,9.234437853785427e-05,1.0,0.2,0.7524555610685716,0.7638234050892961,0.8575455164306001,1.0,1.0,1.0,0.9680176764423007,0.0,0.0,0.0,0.0,0.24333333333333332,0.344,0.4357142857142857,0.4944444444444444,0.5218181818181818,0.5307692307692308,0.5446666666666666,0.5623333333333334
2020-08-05,0.5536942441085485,0.5543906004193638,0.04855938874315651,9.188453136070323e-05,1.0,0.27,0.7470974519749177,0.7619517171892898,0.861222623472491,1.0,1.0,1.0,0.968002066898702,0.0,0.0,0.0,0.0,0.24666666666666667,0.262,0.37142857142857144,0.45,0.48727272727272725,0.4992307692307692,0.5186666666666667,0.546
2020-08-06,0.7216481993711971,0.7157070390084496,0.29534070398740414,8.467608776967269e-05,1.0,0.21,0.7722690720858912,0.7771079526624307,0.8714047574427971,1.0,1.0,1.0,0.9708286694668409,0.0,0.0,0.0,0.0,0.22666666666666668,0.242,0.3142857142857143,0.3922222222222222,0.4481818181818182,0.4784615384615385,0.49200000000000005,0.5266666666666666
2020-08-07,0.8257560837014372,0.8243085358901425,0.5394192961673546,7.979314887139713e-05,1.0,0.23,0.8112477437456845,0.8067312491980306,0.8853898652269065,1.0,1.0,1.0,0.9749032255964506,0.0,0.0,0.0,0.0,0.2366666666666667,0.23600000000000002,0.25,0.3377777777777778,0.4081818181818182,0.4461538461538461,0.462,0.5096666666666667
2020-08-08,1.0,1.0,1.0,6.579171859901937e-05,1.0,0.11,0.9073949282684433,0.8593464800227004,0.9110632033386689,1.0,1.0,1.0,0.9813915956709601,0.0,0.0,0.0,0.0,0.18333333333333332,0.204,0.22142857142857142,0.2822222222222222,0.3518181818181818,0.4053846153846154,0.43733333333333335,0.489
2020-08-09,1.0,1.0,1.0,6.186675268442445e-05,1.0,0.19,1.0,0.9481082551093851,0.9593073488114143,1.0,1.0,1.0,0.9931464035825647,0.0,0.0,0.0,0.0,0.17666666666666667,0.20199999999999999,0.2114285714285714,0.22777777777777777,0.30363636363636365,0.36846153846153845,0.4066666666666666,0.47100000000000003
2020-08-10,0.9760756888952838,0.9890571972407477,1.0,8.451581826272503e-05,1.0,0.12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.14,0.172,0.19,0.20666666666666667,0.2590909090909091,0.32153846153846155,0.37200000000000005,0.45333333333333337
2020-08-11,0.9898361620611293,0.9790497967707164,0.5827075017286918,9.570707735842202e-05,1.0,0.14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.15,0.158,0.1814285714285714,0.19333333333333333,0.21,0.27692307692307694,0.33666666666666667,0.4396666666666667
2020-08-12,0.8596491639080212,0.8635895843401725,0.3263183429892691,8.877336460295175e-05,1.0,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.12,0.132,0.15714285714285714,0.17444444444444443,0.1909090909090909,0.2376923076923077,0.29466666666666663,0.4306666666666667
2020-08-13,0.9520091375176967,0.9395824908580991,0.3611258788375826,8.838093543220632e-05,1.0,0.22,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.15333333333333335,0.154,0.15857142857142859,0.17666666666666667,0.18727272727272726,0.2023076923076923,0.2613333333333333,0.42766666666666664
2020-08-14,0.8835771328463957,0.872842910878561,0.22578212292334449,9.300171290020183e-05,1.0,0.22,0.9802876949698218,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.18,0.16,0.15714285714285714,0.1711111111111111,0.18272727272727274,0.1953846153846154,0.23533333333333334,0.426
2020-08-15,0.9135350390326566,0.9019091163038153,0.18824629622642688,8.86812355961393e-05,1.0,0.27,0.9696985349790173,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.2366666666666667,0.19,0.18,0.17777777777777778,0.1890909090909091,0.19615384615384618,0.20800000000000002,0.41833333333333333
2020-08-16,0.9485058367987024,0.9342672400689169,0.15213096770279388,8.64601896876378e-05,1.0,0.21,0.9627006315731981,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.2333333333333333,0.204,0.18285714285714286,0.17555555555555558,0.18363636363636363,0.19153846153846155,0.20133333333333334,0.4056666666666667
2020-08-17,0.9444000837078181,0.9399888733492884,0.13063455470885754,7.868175946620253e-05,1.0,0.18,0.9770503553304525,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.22,0.22,0.19142857142857142,0.18333333333333332,0.1809090909090909,0.19,0.196,0.3943333333333333
2020-08-18,0.9179574373660065,0.9081343220874083,0.19856508592014857,6.466393567120225e-05,1.0,0.1,0.971284842793292,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.16333333333333333,0.196,0.18571428571428572,0.1733333333333333,0.1690909090909091,0.17692307692307693,0.18466666666666665,0.3806666666666667
2020-08-19,0.8492377624686858,0.8391035681724134,0.16405851450161166,6.0917379677637914e-05,1.0,0.18,0.965470622958484,0.9870508186788394,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.15333333333333335,0.188,0.19714285714285715,0.18,0.17545454545454547,0.1746153846153846,0.18333333333333332,0.364
2020-08-20,0.7653273367711173,0.7568371185841759,0.12899177752101662,7.211128821786135e-05,1.0,0.2,0.940376622903093,0.9689493453292889,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.16,0.174,0.19428571428571428,0.18666666666666668,0.17636363636363636,0.1723076923076923,0.17866666666666667,0.3486666666666667
2020-08-21,0.8547443062351618,0.8391201365375157,0.0901892474755442,9.401635809347866e-05,1.0,0.23,0.9245012546377986,0.9573461152051723,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.2033333333333333,0.17800000000000002,0.19571428571428573,0.2011111111111111,0.18636363636363637,0.18153846153846154,0.18,0.336
2020-08-22,0.8935757395812453,0.8815323657022245,0.15890121124681716,0.00012055097283757916,1.0,0.24,0.9158958577868525,0.9602601166633122,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.22333333333333333,0.19,0.19142857142857142,0.2033333333333333,0.19545454545454546,0.1853846153846154,0.18066666666666667,0.3213333333333333
2020-08-23,0.94179859624381,0.9304574018800286,0.37630213904986387,0.00012839336925121725,1.0,0.27,0.9199325578575709,0.9593831188652708,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.24666666666666667,0.22399999999999998,0.2,0.2088888888888889,0.2109090909090909,0.19692307692307692,0.19133333333333333,0.31433333333333335
2020-08-24,0.8709929757855145,0.8679073341184015,0.14954398627595303,0.0001270038400675307,1.0,0.24,0.9236160730585161,0.9583022478578908,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.25,0.23600000000000002,0.20857142857142857,0.20555555555555557,0.21272727272727274,0.2046153846153846,0.19466666666666665,0.30066666666666664
2020-08-25,0.8645108927013901,0.8547639906256068,0.1379118297650488,0.00012344027084159681,1.0,0.17,0.9404094793392236,0.9540914947518497,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.22666666666666668,0.23,0.21857142857142858,0.2011111111111111,0.20818181818181816,0.21,0.198,0.285
2020-08-26,0.8034475287544851,0.796312644804361,0.20949691410254961,0.00011447931694631004,1.0,0.15,0.931724091756128,0.941632231983113,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.18666666666666668,0.214,0.21428571428571427,0.19777777777777777,0.19727272727272727,0.2046153846153846,0.19866666666666666,0.26766666666666666
2020-08-27,0.8155277424522404,0.7987701595888271,0.20645741665242343,0.00011332052951555356,1.0,0.13,0.9185092829817351,0.9305632047417631,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.15,0.192,0.20428571428571426,0.2011111111111111,0.19,0.1976923076923077,0.20066666666666666,0.24766666666666665
2020-08-28,0.9055892872686164,0.8863480400481705,0.44419286850313255,0.00010869345628864293,1.0,0.14,0.9123784518065393,0.9295008868772835,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.14,0.166,0.19142857142857142,0.19666666666666668,0.18636363636363637,0.1876923076923077,0.19533333333333336,0.22833333333333333
2020-08-29,1.0,1.0,0.6713038654562525,9.884309907379431e-05,1.0,0.21,0.9454572025975236,0.9481497727175652,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.16,0.16,0.18714285714285717,0.19777777777777777,0.19636363636363638,0.1876923076923077,0.19466666666666665,0.215
2020-08-30,1.0,1.0,0.6628734277229866,9.36521779311604e-05,1.0,0.21,0.9822738709221169,0.9753452715321026,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.18666666666666668,0.168,0.17857142857142858,0.19555555555555557,0.1990909090909091,0.19,0.19066666666666665,0.19933333333333333
2020-08-31,0.9457491745787553,0.9459093806217531,0.43225057855051513,9.469343354777256e-05,0.9564235081476461,0.28,1.0,0.9898190619601245,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.2333333333333333,0.19399999999999998,0.18428571428571427,0.2,0.20636363636363636,0.20384615384615384,0.19533333333333336,0.19833333333333333
2020-09-01,0.8888386173399698,0.8960554081459836,0.3518653845049044,9.574313164576796e-05,0.9796661865627383,0.23,1.0,0.9956688367557689,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.24,0.214,0.19285714285714284,0.19555555555555557,0.20636363636363636,0.2076923076923077,0.19866666666666666,0.19733333333333333
2020-09-02,0.9149345574954876,0.9243174833970381,0.36551043695997704,9.484862845010409e-05,0.9796661865627383,0.28,1.0,0.9998017922532004,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.2633333333333333,0.242,0.2114285714285714,0.2,0.21,0.21384615384615382,0.21066666666666667,0.19766666666666666
2020-09-03,0.9087264317962592,0.9157945678677479,0.32119077126652135,8.329675292287175e-05,0.9796661865627383,0.38,0.9866981228011388,1.0,0.9994149652310652,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.2966666666666667,0.276,0.24714285714285716,0.22333333333333333,0.22,0.2253846153846154,0.22399999999999998,0.20366666666666666
2020-09-04,0.7119521183496694,0.7182523472243375,0.25109305981487534,7.212774807813435e-05,0.9796661865627383,0.33,0.9368469642242114,0.9919837061277367,0.9922490831496291,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.33,0.3,0.27428571428571424,0.24333333333333332,0.22818181818181815,0.2323076923076923,0.23266666666666666,0.20566666666666666
2020-09-05,0.7718352335084101,0.7764903672508608,0.28174231377837533,8.200078554899028e-05,0.9796661865627383,0.26,0.9067484562769783,0.9946761172604206,0.9868602618330709,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.32333333333333336,0.29600000000000004,0.2814285714285714,0.2577777777777778,0.23636363636363636,0.23153846153846153,0.23466666666666666,0.20733333333333334
2020-09-06,0.6724404782763123,0.67709354184526,0.2909645037736263,0.00010711489097539762,0.9796661865627383,0.25,0.8692973981945242,0.9871902105416482,0.9822600727292744,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.28,0.3,0.28714285714285714,0.27,0.24545454545454548,0.2323076923076923,0.23533333333333334,0.20800000000000002
2020-09-07,0.6650691605856858,0.6703319367900331,0.19889147817252606,0.000134745092323052,0.9796661865627383,0.23,0.8260543114796628,0.9713625117538824,0.9741658394809943,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.24666666666666667,0.29,0.28,0.2722222222222222,0.2545454545454545,0.23692307692307693,0.23266666666666666,0.212
2020-09-08,0.6469630665372869,0.6530155879203727,0.12169537378174669,0.0001386769343381839,0.9796661865627383,0.21,0.7807520965965277,0.9401882921668996,0.967772464228143,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.23,0.256,0.27714285714285714,0.2722222222222222,0.2609090909090909,0.24153846153846154,0.23066666666666666,0.21266666666666667
2020-09-09,0.6173520004509948,0.6199905752702624,0.04534250941602701,0.0001202049786682737,0.9796661865627383,0.23,0.7643800772928493,0.9049611294269783,0.9592201723705253,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.22333333333333333,0.23600000000000002,0.27,0.26666666666666666,0.26272727272727275,0.24923076923076923,0.23466666666666666,0.21633333333333332
2020-09-10,0.6517019135149498,0.6549668818687594,0.027657971177153497,8.837603772799107e-05,0.9796661865627383,0.1,0.7435891409004175,0.8778906867984229,0.9507442913602185,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.18,0.204,0.23,0.25222222222222224,0.25272727272727274,0.24615384615384617,0.23133333333333334,0.215
2020-09-11,0.702469304280025,0.7055506966180892,0.028018360036858828,7.754603362012383e-05,0.9796661865627383,0.14,0.7487860955123152,0.8607332414997988,0.9443241798124298,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.15666666666666665,0.182,0.20285714285714285,0.2366666666666667,0.24,0.24076923076923076,0.23199999999999998,0.21633333333333332
2020-09-12,0.7363343671656601,0.762327533526295,0.04399848160248595,0.00010198333480943402,0.9796661865627383,0.93,0.7611196460799547,0.8442910335762105,0.940100850998968,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.39,0.322,0.2985714285714286,0.2977777777777778,0.30363636363636365,0.29615384615384616,0.2846666666666666,0.24
2020-09-13,0.7384355188346619,0.7387218321867816,0.02488327843873217,0.00012233972019617734,0.9796661865627383,0.91,0.7769503742865672,0.8286137904935386,0.9383497579257557,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.66,0.462,0.39285714285714285,0.3622222222222222,0.36090909090909096,0.3446153846153846,0.3313333333333333,0.263
2020-09-14,0.7016695356506628,0.7086458868782889,0.03124390403318968,0.00011250571588906333,0.9796661865627383,0.92,0.7915428329915988,0.8276671601320795,0.9381354784837015,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.92,0.6,0.49142857142857144,0.4355555555555556,0.41,0.3976923076923077,0.37866666666666665,0.2846666666666666
2020-09-15,0.70737436075227,0.7087183890563703,0.018014458380242925,8.996868332034984e-05,0.9796661865627383,0.91,0.801177814438754,0.821732793148287,0.9350223183764989,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9133333333333333,0.762,0.5914285714285714,0.5088888888888888,0.4627272727272727,0.4461538461538461,0.4206666666666667,0.308
2020-09-16,0.6744773403000245,0.6788133886774252,0.000684424199881793,0.00010121467594165639,1.0,0.91,0.7963333704273914,0.8219203097956304,0.9293174263280503,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9133333333333333,0.9159999999999999,0.6885714285714286,0.5844444444444444,0.5218181818181818,0.48692307692307696,0.466,0.33233333333333337
2020-09-17,0.6622752813415621,0.6668549548526871,0.002107639486790968,1.0,1.0,0.95,0.7835162956746559,0.8216631009798925,0.9214734947308598,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9233333333333333,0.92,0.81,0.6666666666666667,0.5854545454545454,0.5346153846153846,0.5106666666666667,0.3606666666666667
2020-09-18,0.6785782958312666,0.683530576243237,0.007441208498356201,0.00011046727485843293,1.0,0.94,0.773157073802165,0.8245736475624217,0.9167095308518829,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9333333333333332,0.9259999999999999,0.9242857142857143,0.7455555555555555,0.65,0.5869230769230769,0.5479999999999999,0.386
2020-09-19,0.6582432435448103,0.6641458374597838,0.0006560443047403538,0.9996152951865485,1.0,0.94,0.765641479652423,0.8283381582270566,0.9114051212603811,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9433333333333332,0.93,0.9257142857142857,0.8388888888888889,0.7163636363636364,0.64,0.5886666666666667,0.4106666666666667
2020-09-20,0.6823978569309594,0.6853407407411685,0.0,0.00012982415261698237,1.0,0.93,0.7613189078440148,0.8311640739392665,0.9091372477298864,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9366666666666668,0.934,0.9285714285714286,0.9266666666666667,0.78,0.6938461538461539,0.6333333333333333,0.434
2020-09-21,0.6603764282463138,0.6690654884011789,0.007219482510561859,0.00012829587765182478,1.0,0.94,0.7588785260615092,0.8272889390999925,0.9056189831130231,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9366666666666668,0.94,0.9314285714285714,0.9277777777777777,0.8563636363636364,0.75,0.6793333333333333,0.45733333333333337
2020-09-22,0.5677754210260807,0.5708360175136495,0.34781008004255826,0.00012143534787247965,1.0,0.93,0.7425238578893499,0.8117711435439539,0.8954754659819104,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9333333333333332,0.9359999999999999,0.9342857142857143,0.93,0.9281818181818181,0.8038461538461539,0.726,0.4793333333333333
2020-09-23,0.5905856047532868,0.5867811121023515,0.2951823446107043,0.00011900610971974295,1.0,0.95,0.7272953563936719,0.7981598532966074,0.8805927794013841,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.94,0.938,0.94,0.9333333333333332,0.93,0.8692307692307693,0.7753333333333333,0.503
2020-09-24,0.5510186566134421,0.5671057445088408,0.33029506998531794,0.00010544465215983573,1.0,0.91,0.7087384766977124,0.7842907019120157,0.8636762510857694,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.93,0.932,0.9342857142857143,0.9333333333333332,0.93,0.9284615384615384,0.8206666666666667,0.5276666666666666
2020-09-25,0.6332734216034237,0.6276329652853805,0.3107945498529192,9.949691036495108e-05,1.0,0.93,0.7002367303856606,0.777468855605086,0.8519029224140721,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.93,0.932,0.9328571428571429,0.9355555555555556,0.9309090909090909,0.9284615384615384,0.8759999999999999,0.5536666666666666
2020-09-26,0.6439316153152059,0.6473716266952504,0.27476528632256836,0.00010046323586784906,1.0,0.93,0.6973907001614504,0.7746567692324478,0.8426754204354936,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9233333333333333,0.93,0.9314285714285714,0.9333333333333332,0.9327272727272726,0.93,0.9286666666666666,0.5803333333333334
2020-09-27,0.674621958565321,0.6827087880158904,0.2742810617262014,0.00010142548306813348,1.0,0.94,0.7158821525399482,0.7757934233071357,0.8336210244248756,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9333333333333332,0.932,0.9328571428571429,0.9333333333333332,0.9354545454545454,0.9315384615384616,0.9293333333333333,0.607
2020-09-28,0.6731611927725193,0.6766031164990275,0.23622047617268616,0.00010212447096231167,1.0,0.9,0.7301731402373578,0.7752947164766957,0.8247454974239937,0.9948405032207873,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9233333333333333,0.922,0.927142857142857,0.9288888888888889,0.9309090909090909,0.9307692307692308,0.9286666666666666,0.63
2020-09-29,0.6731880179757375,0.6853097806623013,0.20246562439777593,0.00010191983554575185,1.0,0.84,0.7513164452032556,0.7766705553719995,0.8232849601182367,0.9901359218093155,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.8933333333333333,0.9079999999999999,0.9142857142857143,0.9188888888888889,0.9218181818181819,0.9253846153846154,0.9233333333333333,0.6509999999999999
2020-09-30,0.7675467279524129,0.7757750837243796,0.381884726079837,0.9887739066503828,1.0,0.78,0.7745545257928481,0.7845094912611943,0.8231233796277814,0.987108904921377,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.84,0.878,0.89,0.9011111111111112,0.9072727272727273,0.9123076923076923,0.9146666666666667,0.6676666666666666
2020-10-01,0.7115407507539507,0.716751368450371,0.27981010337364975,0.0001004942027699921,0.8207883553949104,0.83,0.7862553364799312,0.7892197574002534,0.824596583083246,0.9854035439952759,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.8166666666666668,0.858,0.8785714285714286,0.89,0.8981818181818181,0.9038461538461539,0.9093333333333333,0.6876666666666666
2020-10-02,0.641279984600987,0.6434085087488448,0.3183495155680737,0.9860073570023449,0.8207883553949104,0.88,0.7804849901686137,0.7959867004555731,0.8237002646168373,0.980500376113293,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.83,0.846,0.8714285714285714,0.8822222222222222,0.8927272727272727,0.8992307692307692,0.9046666666666667,0.7076666666666667
