date,price,market_cap,volume,community_score,public_interest_score,fear_greed,price_5_SMA,price_10_SMA,price_25_SMA,price_50_SMA,price_75_SMA,price_100_SMA,price_150_SMA,price_200_SMA,price_250_SMA,price_300_SMA,price_350_SMA,fear_greed_3_SMA,fear_greed_5_SMA,fear_greed_7_SMA,fear_greed_9_SMA,fear_greed_11_SMA,fear_greed_13_SMA,fear_greed_15_SMA,fear_greed_30_SMA
2020-12-25,1.0,1.0,1.0,1.0,1.0,0.94,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-26,0.0,0.0,0.0,1.0,1.0,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-27,1.0,1.0,1.0,1.0,1.0,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-28,0.2931869947523335,0.2590820729391967,0.6955423408684466,0.0,1.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-29,0.196215139479306,0.18732918542491264,0.15290063264537307,0.0006049682954612812,1.0,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9133333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-30,0.11140073426273249,0.01542104450448841,0.0,1.0,1.0,0.91,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9133333333333333,0.9159999999999999,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-31,0.1349390622697462,0.1157447956814418,0.0,1.0,0.0,0.95,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9233333333333333,0.92,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01,0.0,0.0,0.0,1.0,0.005859313802287326,0.94,0.933842672121095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9333333333333332,0.9259999999999999,0.9242857142857143,0.0,0.0,0.0,0.0,0.0
2021-01-02,0.08605764927779821,0.08414344773358681,0.07193699134102649,1.0,0.005859313802287326,0.94,0.917717255463219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9433333333333332,0.93,0.9257142857142857,0.0,0.0,0.0,0.0,0.0
2021-01-03,0.0,0.0,0.01876440005489469,1.0,0.005859313802287326,0.93,0.8904361664077988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9366666666666668,0.934,0.9285714285714286,0.9266666666666667,0.0,0.0,0.0,0.0
2021-01-04,0.0,0.0,0.1670049852279646,0.007123645660990039,0.005859313802287326,0.94,0.8531734222790021,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9366666666666668,0.94,0.9314285714285714,0.9277777777777777,0.0,0.0,0.0,0.0
2021-01-05,0.02036880462017541,0.0,0.14921772750516943,1.0,0.005859313802287326,0.93,0.8163285094319915,0.9846153756715496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9333333333333332,0.9359999999999999,0.9342857142857143,0.93,0.9281818181818181,0.0,0.0,0.0
2021-01-06,0.1920712736092091,0.175513014198654,0.16693018024108194,0.007566707194699934,0.005859313802287326,0.95,0.8073445783930001,0.94388197392529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94,0.938,0.94,0.9333333333333332,0.93,0.0,0.0,0.0
2021-01-07,0.3906421823224327,0.40634539552298166,0.4241808454395863,1.0,0.005859313802287326,0.91,0.8111353531720669,0.937195475318782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.932,0.9342857142857143,0.9333333333333332,0.93,0.9284615384615384,0.0,0.0
