date,price,market_cap,volume,community_score,public_interest_score,fear_greed,price_5_SMA,price_10_SMA,price_25_SMA,price_50_SMA,price_75_SMA,price_100_SMA,price_150_SMA,price_200_SMA,price_250_SMA,price_300_SMA,price_350_SMA,fear_greed_3_SMA,fear_greed_5_SMA,fear_greed_7_SMA,fear_greed_9_SMA,fear_greed_11_SMA,fear_greed_13_SMA,fear_greed_15_SMA,fear_greed_30_SMA
2020-12-22,0.8332752787141323,0.8840276078116652,0.5153089467441664,5.406740472661491e-06,1.0,0.7,0.968459307465665,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71,0.72,0.7214285714285714,0.7244444444444444,0.729090909090909,0.7276923076923077,0.7233333333333333,0.7146666666666667
2020-12-23,0.8792163042695257,0.9200432458544828,0.5652046127942516,0.0011225974472396088,1.0,0.76,0.9671366675674375,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.722,0.7242857142857143,0.7266666666666667,0.729090909090909,0.7307692307692308,0.7306666666666666,0.7166666666666667
2020-12-24,0.7461385180375136,0.8241324457504395,0.647986476085047,0.0011275331725676858,1.0,0.74,0.9356155979056187,0.9910145578765136,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7333333333333333,0.726,0.7285714285714286,0.7277777777777777,0.729090909090909,0.7323076923076922,0.7306666666666666,0.7156666666666667
2020-12-25,0.8114076869465976,0.8704977307239851,0.7595725219347439,0.0011319930151553065,1.0,0.74,0.9154526019576772,0.9840261665122816,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7466666666666667,0.728,0.7271428571428571,0.7277777777777777,0.729090909090909,0.7307692307692308,0.732,0.7143333333333334
2020-12-26,0.8040384557547778,0.8646756471756356,0.4005112719536217,0.0011358392304162772,1.0,0.75,0.9016034889561021,0.9755189218265458,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7433333333333333,0.738,0.7314285714285714,0.7322222222222223,0.730909090909091,0.7315384615384616,0.7340000000000001,0.7140000000000001
2020-12-27,0.7316443297880142,0.810515550114125,0.47497635034981445,0.0011394300798302644,1.0,0.79,0.8869735660244218,0.9613919812132707,0.9996611258681715,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.7559999999999999,0.74,0.7366666666666667,0.7354545454545455,0.7353846153846153,0.736,0.7133333333333333
2020-12-28,0.7648938021273687,0.8417874081444675,1.0,6.000646437135279e-06,1.0,0.78,0.8705166755459862,0.9521795229356994,0.9946163683655611,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7733333333333333,0.76,0.7514285714285713,0.7433333333333333,0.7418181818181818,0.7392307692307692,0.7386666666666666,0.7156666666666667
2020-12-29,0.8400176303079926,0.8947390164463261,0.268863860978168,6.1255725683522385e-06,1.0,0.76,0.8840307103151598,0.9428491832621045,0.989729886675851,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7766666666666667,0.764,0.76,0.7466666666666667,0.7427272727272727,0.7407692307692308,0.74,0.7170000000000001
2020-12-30,0.7838556274597068,0.848072964757302,0.17422467849326737,0.0011498619980108446,1.0,0.79,0.8800645512744201,0.9303466689157162,0.988061182265232,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7766666666666667,0.774,0.7642857142857143,0.7566666666666667,0.749090909090909,0.7469230769230769,0.7440000000000001,0.7196666666666667
2020-12-31,0.8291209266337666,0.885059082395951,0.25518613652408306,0.0011531478199152333,1.0,0.74,0.8836752094427549,0.9250416166460663,0.9828685429931763,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7633333333333333,0.772,0.7642857142857143,0.7611111111111112,0.75,0.7461538461538462,0.7440000000000001,0.7193333333333334
2021-01-01,0.9371498652004003,0.964309757603613,0.25963641956469896,0.00115693486612308,0.9979532979812076,0.73,0.913258030196525,0.9327894561219391,0.9828905829941058,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7533333333333333,0.76,0.7628571428571429,0.7577777777777777,0.7527272727272727,0.7469230769230769,0.7453333333333333,0.7193333333333334
